# az(deg), al(deg), L(cd) 
-201.85, 53.89, 532.11
-202.60, 54.70, 659.55
-203.07, 53.32, 474.17
-203.84, 54.13, 762.22
-203.39, 55.51, 653.55
-204.21, 56.31, 640.59
-204.64, 54.92, 607.55
-205.47, 55.71, 570.70
-204.26, 52.74, 535.71
-205.04, 53.54, 655.17
-205.42, 52.15, 554.80
-206.22, 52.94, 583.87
-205.86, 54.33, 590.03
-206.70, 55.11, 664.24
-207.04, 53.72, 622.01
-207.89, 54.49, 584.80
-205.07, 57.10, 706.31
-205.96, 57.89, 675.27
-206.34, 56.50, 1987.30
-207.25, 57.28, 725.49
-206.90, 58.67, 631.52
-207.88, 59.44, 677.80
-208.20, 58.05, 622.49
-209.19, 58.81, 601.99
-207.58, 55.88, 672.49
-208.50, 56.65, 1544.93
-208.78, 55.26, 900.13
-209.70, 56.02, 715.01
-209.45, 57.41, 560.67
-210.45, 58.16, 564.15
-210.67, 56.77, 574.65
-211.68, 57.51, 551.26
-206.56, 51.55, 563.11
-207.35, 52.33, 600.49
-207.66, 50.94, 674.26
-208.47, 51.71, 705.98
-208.19, 53.10, 722.38
-209.05, 53.87, 672.97
-209.30, 52.48, 823.91
-210.17, 53.23, 683.92
-208.73, 50.32, 541.66
-209.55, 51.08, 681.41
-209.78, 49.69, 558.86
-210.60, 50.44, 700.95
-210.39, 51.84, 771.63
-211.26, 52.59, 715.50
-211.45, 51.19, 664.11
-212.33, 51.94, 746.25
-209.94, 54.63, 725.88
-210.88, 55.38, 668.28
-211.07, 53.98, 657.31
-212.01, 54.72, 646.23
-211.85, 56.12, 702.51
-212.86, 56.85, 672.65
-212.99, 55.46, 655.40
-214.00, 56.18, 735.80
-212.17, 53.33, 632.94
-213.11, 54.06, 630.86
-213.24, 52.67, 650.07
-214.19, 53.40, 525.98
-214.09, 54.79, 542.77
-215.11, 55.50, 542.48
-215.17, 54.11, 467.63
-216.19, 54.81, 439.68
-208.91, 60.20, 662.99
-209.99, 60.95, 645.05
-210.23, 59.56, 543.27
-211.32, 60.30, 681.18
-211.13, 61.69, 676.74
-212.33, 62.42, 564.49
-212.46, 61.03, 655.44
-213.67, 61.75, 567.43
-211.50, 58.91, 712.35
-212.60, 59.64, 752.81
-212.73, 58.24, 627.11
-213.83, 58.96, 612.13
-213.75, 60.36, 565.81
-214.95, 61.06, 615.66
-214.98, 59.67, 537.67
-216.19, 60.37, 499.96
-213.59, 63.14, 614.71
-214.92, 63.85, 555.25
-214.93, 62.46, 559.04
-216.26, 63.15, 784.13
-216.32, 64.54, 558.62
-217.80, 65.21, 536.83
-217.66, 63.82, 547.79
-219.13, 64.48, 514.59
-216.22, 61.76, 547.51
-217.54, 62.44, 670.65
-217.45, 61.05, 554.14
-218.77, 61.72, 531.99
-218.94, 63.10, 523.45
-220.40, 63.75, 574.55
-220.16, 62.37, 472.84
-221.61, 63.01, 664.60
-213.92, 57.57, 617.98
-215.02, 58.28, 552.59
-215.06, 56.89, 614.82
-216.17, 57.59, 496.99
-216.17, 58.98, 1404.89
-217.38, 59.67, 633.47
-217.32, 58.28, 646.87
-218.52, 58.96, 557.45
-216.17, 56.20, 456.24
-217.28, 56.89, 516.83
-217.25, 55.51, 489.02
-218.35, 56.19, 520.70
-218.43, 57.57, 537.76
-219.62, 58.24, 492.63
-219.49, 56.86, 495.00
-220.69, 57.51, 751.42
-218.63, 60.34, 1000.05
-219.95, 60.99, 502.61
-219.77, 59.62, 534.62
-221.08, 60.26, 509.37
-221.33, 61.63, 610.01
-222.77, 62.26, 517.73
-222.45, 60.89, 487.85
-223.88, 61.50, 494.96
-220.87, 58.89, 523.60
-222.17, 59.52, 542.01
-221.93, 58.15, 528.08
-223.22, 58.78, 581.24
-223.53, 60.14, 527.79
-224.94, 60.74, 526.47
-224.56, 59.38, 487.04
-225.96, 59.97, 588.41
-210.80, 49.05, 607.46
-211.63, 49.80, 709.51
-211.80, 48.41, 723.65
-212.63, 49.15, 842.08
-212.48, 50.54, 709.14
-213.36, 51.28, 659.43
-213.49, 49.88, 717.56
-214.37, 50.61, 648.54
-212.78, 47.76, 677.04
-213.61, 48.49, 681.93
-213.73, 47.10, 658.97
-214.57, 47.83, 749.99
-214.47, 49.22, 798.01
-215.36, 49.94, 631.09
-215.43, 48.55, 657.98
-216.32, 49.26, 663.62
-214.28, 52.00, 712.85
-215.23, 52.72, 450.20
-215.29, 51.33, 787.85
-216.24, 52.04, 572.48
-216.21, 53.43, 423.38
-217.23, 54.12, 481.89
-217.22, 52.73, 498.05
-218.24, 53.42, 500.25
-216.27, 50.65, 628.62
-217.22, 51.35, 530.02
-217.23, 49.96, 639.32
-218.18, 50.65, 607.07
-218.21, 52.04, 534.60
-219.22, 52.72, 568.88
-219.16, 51.34, 519.70
-220.18, 52.01, 485.65
-214.67, 46.44, 701.98
-215.50, 47.16, 658.55
-215.58, 45.77, 908.89
-216.42, 46.48, 679.64
-216.36, 47.87, 653.63
-217.25, 48.58, 631.53
-217.28, 47.19, 698.21
-218.17, 47.89, 579.18
-216.47, 45.09, 593.56
-217.31, 45.80, 667.04
-217.35, 44.42, 658.00
-218.19, 45.12, 587.36
-218.17, 46.50, 559.40
-219.06, 47.19, 551.90
-219.05, 45.81, 630.02
-219.94, 46.50, 546.19
-218.17, 49.27, 599.40
-219.12, 49.95, 587.59
-219.09, 48.57, 549.92
-220.03, 49.25, 507.45
-220.10, 50.63, 614.31
-221.11, 51.29, 515.73
-221.01, 49.92, 553.46
-222.02, 50.57, 591.32
-219.98, 47.87, 520.17
-220.93, 48.54, 508.42
-220.86, 47.17, 514.93
-221.80, 47.83, 528.25
-221.90, 49.20, 578.70
-222.91, 49.85, 596.56
-222.77, 48.48, 537.72
-223.77, 49.12, 517.31
-218.29, 54.81, 570.56
-219.39, 55.48, 512.90
-219.30, 54.10, 494.52
-220.39, 54.76, 493.43
-220.53, 56.14, 649.93
-221.72, 56.78, 570.75
-221.53, 55.41, 581.77
-222.71, 56.04, 565.73
-220.28, 53.38, 499.38
-221.37, 54.04, 491.56
-221.23, 52.66, 516.27
-222.32, 53.31, 646.11
-222.50, 54.68, 489.99
-223.67, 55.30, 494.01
-223.44, 53.94, 583.27
-224.61, 54.56, 529.04
-222.95, 57.41, 527.18
-224.23, 58.02, 474.80
-223.93, 56.66, 505.20
-225.21, 57.27, 511.66
-225.56, 58.62, 555.29
-226.94, 59.20, 477.16
-226.52, 57.86, 527.23
-227.89, 58.42, 513.61
-224.89, 55.91, 482.01
-226.15, 56.51, 489.10
-225.82, 55.16, 622.54
-227.06, 55.74, 496.40
-227.45, 57.09, 487.22
-228.81, 57.64, 544.35
-228.36, 56.31, 473.76
-229.69, 56.86, 473.58
-222.16, 51.94, 521.84
-223.24, 52.58, 512.79
-223.06, 51.21, 687.63
-224.14, 51.84, 500.14
-224.36, 53.20, 524.36
-225.52, 53.81, 466.40
-225.25, 52.46, 474.93
-226.40, 53.06, 586.61
-223.94, 50.48, 490.83
-225.02, 51.10, 475.05
-224.81, 49.75, 531.70
-225.87, 50.36, 475.80
-226.12, 51.71, 471.64
-227.26, 52.30, 475.35
-226.97, 50.96, 552.16
-228.10, 51.54, 483.58
-226.71, 54.40, 475.93
-227.95, 54.98, 542.91
