# az(deg), al(deg), L(cd) 
-191.26, 55.17, 524.32
-191.85, 56.03, 652.48
-192.64, 54.70, 466.50
-193.25, 55.55, 756.06
-192.46, 56.89, 646.71
-193.10, 57.74, 633.95
-193.89, 56.40, 600.92
-194.56, 57.25, 564.14
-193.99, 54.22, 528.83
-194.62, 55.06, 649.05
-195.30, 53.72, 548.56
-195.96, 54.55, 577.96
-195.28, 55.90, 583.80
-195.97, 56.74, 658.60
-196.63, 55.39, 616.47
-197.34, 56.22, 579.24
-193.78, 58.59, 700.20
-194.49, 59.44, 669.31
-195.26, 58.09, 1987.26
-195.99, 58.93, 720.11
-195.24, 60.28, 625.65
-196.04, 61.12, 672.38
-196.77, 59.76, 616.92
-197.59, 60.59, 596.58
-196.69, 57.58, 667.10
-197.45, 58.41, 1543.96
-198.09, 57.05, 896.40
-198.87, 57.87, 710.51
-198.25, 59.23, 555.19
-199.09, 60.05, 558.91
-199.69, 58.68, 569.61
-200.55, 59.49, 546.28
-196.59, 53.20, 557.46
-197.26, 54.03, 595.18
-197.85, 52.67, 669.86
-198.53, 53.50, 701.87
-197.96, 54.86, 717.94
-198.68, 55.69, 668.39
-199.24, 54.32, 820.63
-199.99, 55.14, 679.87
-199.08, 52.14, 536.88
-199.77, 52.96, 677.66
-200.27, 51.59, 554.63
-200.98, 52.40, 697.79
-200.50, 53.77, 768.55
-201.26, 54.58, 712.11
-201.73, 53.20, 660.71
-202.50, 54.01, 743.47
-199.44, 56.50, 721.74
-200.24, 57.32, 663.95
-200.77, 55.95, 653.22
-201.58, 56.75, 642.18
-201.08, 58.12, 698.53
-201.96, 58.92, 668.65
-202.43, 57.55, 651.51
-203.33, 58.33, 732.50
-202.05, 55.38, 629.07
-202.88, 56.17, 627.06
-203.30, 54.80, 646.63
-204.14, 55.58, 521.71
-203.75, 56.96, 538.45
-204.66, 57.74, 538.23
-205.02, 56.36, 463.00
-205.94, 57.13, 434.90
-196.87, 61.95, 657.79
-197.77, 62.77, 640.05
-198.45, 61.41, 537.86
-199.37, 62.22, 676.62
-198.71, 63.59, 672.12
-199.72, 64.40, 559.67
-200.34, 63.03, 651.00
-201.37, 63.83, 562.83
-199.98, 60.86, 708.03
-200.92, 61.66, 748.89
-201.46, 60.29, 622.70
-202.42, 61.08, 607.82
-201.91, 62.46, 561.22
-202.97, 63.24, 611.50
-203.43, 61.87, 533.15
-204.50, 62.64, 495.42
-200.79, 65.20, 610.33
-201.93, 65.99, 550.84
-202.47, 64.62, 554.61
-203.64, 65.39, 780.89
-203.15, 66.77, 554.44
-204.46, 67.54, 532.78
-204.88, 66.16, 543.72
-206.21, 66.91, 510.55
-204.08, 64.02, 543.21
-205.27, 64.78, 667.11
-205.63, 63.40, 550.04
-206.84, 64.16, 527.92
-206.53, 65.53, 519.39
-207.87, 66.27, 570.90
-208.11, 64.90, 468.62
-209.46, 65.62, 661.51
-202.89, 59.71, 613.82
-203.86, 60.49, 548.20
-204.27, 59.12, 610.90
-205.26, 59.89, 492.47
-204.89, 61.26, 1405.35
-205.98, 62.03, 629.79
-206.30, 60.65, 643.34
-207.40, 61.40, 553.50
-205.61, 58.51, 451.52
-206.61, 59.27, 512.56
-206.91, 57.89, 484.62
-207.92, 58.64, 516.58
-207.66, 60.02, 533.67
-208.77, 60.76, 488.34
-208.98, 59.38, 490.75
-210.09, 60.11, 748.94
-207.12, 62.78, 998.51
-208.34, 63.52, 498.49
-208.56, 62.14, 530.61
-209.78, 62.87, 505.31
-209.62, 64.24, 606.58
-210.98, 64.95, 513.92
-211.07, 63.58, 483.76
-212.43, 64.28, 491.01
-209.93, 61.49, 519.58
-211.16, 62.20, 538.17
-211.26, 60.83, 524.16
-212.49, 61.53, 577.74
-212.46, 62.90, 523.94
-213.82, 63.59, 522.71
-213.79, 62.22, 482.99
-215.15, 62.89, 585.12
-201.45, 51.03, 603.95
-202.17, 51.83, 706.80
-202.59, 50.46, 721.47
-203.33, 51.26, 840.88
-202.92, 52.63, 706.43
-203.70, 53.42, 656.35
-204.09, 52.05, 715.30
-204.88, 52.83, 645.72
-203.71, 49.88, 674.89
-204.45, 50.67, 679.80
-204.81, 49.29, 657.08
-205.56, 50.08, 748.92
-205.23, 51.45, 796.88
-206.03, 52.23, 628.49
-206.34, 50.85, 656.02
-207.15, 51.62, 661.68
-204.52, 54.21, 710.20
-205.37, 54.99, 445.58
-205.71, 53.61, 786.15
-206.57, 54.38, 569.07
-206.26, 55.75, 418.59
-207.19, 56.52, 477.58
-207.46, 55.14, 494.05
-208.40, 55.89, 496.27
-206.86, 53.00, 625.96
-207.73, 53.76, 526.54
-207.99, 52.38, 637.15
-208.86, 53.13, 604.57
-208.64, 54.51, 531.16
-209.58, 55.25, 565.72
-209.78, 53.88, 516.41
-210.72, 54.61, 482.07
-205.88, 48.70, 700.95
-206.64, 49.47, 657.05
-206.93, 48.10, 910.56
-207.69, 48.87, 678.77
-207.42, 50.24, 652.04
-208.24, 51.00, 629.67
-208.48, 49.63, 697.51
-209.31, 50.38, 577.20
-207.95, 47.49, 592.22
-208.72, 48.25, 666.49
-208.96, 46.87, 657.83
-209.74, 47.63, 586.30
-209.52, 49.00, 557.59
-210.35, 49.75, 550.00
-210.54, 48.37, 629.43
-211.37, 49.11, 544.58
-209.09, 51.76, 597.22
-209.97, 52.50, 585.28
-210.16, 51.12, 547.60
-211.04, 51.86, 504.69
-210.88, 53.24, 612.22
-211.84, 53.96, 512.70
-211.97, 52.59, 551.16
-212.92, 53.30, 589.37
-211.21, 50.49, 517.90
-212.10, 51.21, 506.00
-212.23, 49.84, 512.95
-213.12, 50.56, 526.41
-213.02, 51.93, 577.01
-213.98, 52.64, 595.06
-214.05, 51.27, 535.97
-215.01, 51.97, 515.33
-208.16, 57.27, 566.92
-209.18, 58.01, 508.86
-209.38, 56.63, 490.53
-210.41, 57.36, 489.45
-210.25, 58.74, 646.93
-211.37, 59.46, 567.22
-211.48, 58.08, 578.49
-212.60, 58.79, 562.37
-210.57, 55.99, 495.64
-211.60, 56.71, 487.80
-211.72, 55.33, 512.95
-212.75, 56.05, 643.92
-212.67, 57.42, 486.22
-213.79, 58.11, 490.30
-213.82, 56.75, 580.56
-214.95, 57.43, 525.88
-212.54, 60.16, 523.38
-213.77, 60.85, 470.70
-213.78, 59.48, 501.41
-215.01, 60.16, 507.98
-215.07, 61.53, 551.82
-216.42, 62.19, 473.23
-216.30, 60.83, 523.74
-217.65, 61.47, 510.09
-214.97, 58.80, 478.25
-216.20, 59.46, 485.45
-216.12, 58.10, 620.21
-217.35, 58.76, 493.05
-217.48, 60.12, 483.62
-218.83, 60.75, 541.28
-218.62, 59.40, 470.30
-219.96, 60.03, 470.19
-212.83, 54.67, 518.89
-213.87, 55.38, 509.74
-213.92, 54.01, 686.61
-214.95, 54.70, 497.30
-214.94, 56.07, 521.44
-216.07, 56.74, 462.98
-216.03, 55.38, 471.86
-217.15, 56.05, 584.64
-214.97, 53.34, 488.22
-216.01, 54.02, 472.29
-216.01, 52.66, 529.90
-217.04, 53.33, 473.40
-217.09, 54.69, 468.87
-218.20, 55.35, 472.65
-218.11, 53.99, 550.60
-219.23, 54.64, 481.32
-217.24, 57.40, 472.64
-218.46, 58.05, 540.27
-218.32, 56.70, 447.50
-219.53, 57.34, 470.85
-219.73, 58.68, 476.34
-221.06, 59.29, 513.00
-220.80, 57.96, 503.15
-222.11, 58.56, 418.65
-219.37, 55.99, 505.70
-220.58, 56.62, 449.88
-220.39, 55.28, 507.18
-221.59, 55.89, 445.01
-221.83, 57.22, 444.54
-223.14, 57.82, 443.21
-222.84, 56.49, 445.29
-224.13, 57.07, 417.93
-205.86, 68.29, 529.26
-207.37, 69.03, 563.64
-207.63, 67.65, 506.32
-209.15, 68.37, 499.19
-208.99, 69.75, 531.05
-210.73, 70.45, 555.91
-210.77, 69.08, 512.95
-212.52, 69.77, 514.37
-209.31, 67.00, 580.91
-210.83, 67.70, 477.03
-210.90, 66.33, 512.42
-212.43, 67.02, 485.74
-212.46, 68.39, 707.89
-214.20, 69.06, 486.21
-214.06, 67.69, 500.24
-215.79, 68.35, 436.82
-212.60, 71.14, 617.61
-214.62, 71.80, 505.50
-214.38, 70.43, 510.16
-216.38, 71.07, 476.31
-216.79, 72.43, 503.98
-219.12, 73.03, 679.73
-218.53, 71.68, 476.97
-220.82, 72.27, 444.30
-216.05, 69.71, 575.16
-218.03, 70.33, 432.66
-217.63, 68.98, 475.89
-219.58, 69.58, 512.56
-220.14, 70.92, 464.57
-222.39, 71.49, 504.17
-221.65, 70.16, 465.28
-223.86, 70.70, 530.04
-212.42, 65.65, 479.17
-213.95, 66.33, 541.54
-213.87, 64.96, 471.07
-215.39, 65.62, 506.73
-215.57, 66.98, 495.72
-217.29, 67.62, 455.59
-217.00, 66.26, 455.23
-218.71, 66.88, 434.84
-215.25, 64.26, 556.32
-216.77, 64.90, 520.88
-216.58, 63.55, 486.24
-218.08, 64.18, 583.12
-218.37, 65.53, 520.56
-220.05, 66.14, 514.64
-219.67, 64.79, 525.28
-221.33, 65.39, 430.68
-219.10, 68.23, 447.50
-221.03, 68.82, 450.11
-220.50, 67.48, 422.56
-222.40, 68.05, 413.81
-223.07, 69.38, 426.62
-225.23, 69.91, 451.75
-224.40, 68.60, 422.53
-226.51, 69.11, 463.71
-221.83, 66.72, 464.65
-223.69, 67.28, 446.63
-223.08, 65.96, 689.18
-224.92, 66.50, 457.15
-225.66, 67.81, 440.69
-227.72, 68.30, 435.55
-226.84, 67.01, 424.89
-228.86, 67.49, 653.20
-221.63, 73.60, 474.03
-224.32, 74.14, 449.53
-223.27, 72.82, 618.76
-225.88, 73.33, 409.02
-227.19, 74.63, 467.14
-230.26, 75.08, 482.29
-228.66, 73.80, 441.75
-231.60, 74.23, 416.60
-224.78, 72.02, 521.06
-227.32, 72.51, 454.88
-226.19, 71.22, 519.02
-228.65, 71.69, 430.70
-230.00, 72.97, 567.99
-232.83, 73.38, 628.35
-231.25, 72.13, 453.40
-233.97, 72.53, 427.94
-233.51, 75.48, 408.55
-236.93, 75.82, 376.91
-234.71, 74.61, 401.46
-237.97, 74.95, 442.20
-240.52, 76.11, 440.50
-244.25, 76.34, 388.38
-241.36, 75.22, 417.59
-244.88, 75.44, 353.89
-235.81, 73.75, 379.59
-238.91, 74.06, 400.35
-236.82, 72.88, 367.42
-239.79, 73.18, 419.74
-242.14, 74.33, 384.07
-245.46, 74.53, 359.87
-242.85, 73.43, 396.92
-246.01, 73.63, 356.07
-227.50, 70.41, 559.61
-229.89, 70.87, 406.57
-228.72, 69.59, 502.43
-231.05, 70.04, 450.80
-232.40, 71.29, 402.82
-235.02, 71.67, 398.48
-233.48, 70.44, 425.09
-236.01, 70.81, 440.72
-229.87, 68.77, 428.61
-232.13, 69.20, 411.60
-230.96, 67.95, 605.27
-233.16, 68.36, 417.74
-234.49, 69.59, 386.33
-236.93, 69.95, 405.06
-235.44, 68.74, 411.20
-237.80, 69.08, 384.81
-237.76, 72.01, 397.28
-240.60, 72.30, 375.73
-238.64, 71.13, 403.25
-241.36, 71.41, 394.36
-243.53, 72.54, 677.26
-246.53, 72.72, 357.09
-244.16, 71.64, 345.57
-247.02, 71.82, 375.17
-239.46, 70.26, 393.64
-242.08, 70.53, 360.97
-240.24, 69.38, 393.08
-242.76, 69.64, 551.60
-244.76, 70.75, 459.92
-247.50, 70.92, 345.50
-245.33, 69.85, 392.23
-247.96, 70.01, 346.46
-217.85, 62.83, 493.17
-219.34, 63.45, 494.90
-219.06, 62.10, 913.70
-220.54, 62.71, 561.35
-220.91, 64.05, 450.73
-222.55, 64.63, 470.73
-222.10, 63.30, 457.58
-223.72, 63.86, 687.22
-220.23, 61.37, 654.97
-221.70, 61.97, 438.98
-221.35, 60.63, 464.48
-222.81, 61.22, 562.27
-223.23, 62.54, 499.02
-224.84, 63.09, 408.93
-224.33, 61.78, 470.62
-225.90, 62.32, 386.35
-224.28, 65.18, 411.32
-226.08, 65.71, 392.42
-225.42, 64.40, 391.50
-227.19, 64.92, 397.12
-227.97, 66.21, 424.67
-229.94, 66.68, 383.98
-229.04, 65.41, 410.78
-230.97, 65.86, 447.00
-226.51, 63.62, 400.92
-228.25, 64.12, 456.24
-227.55, 62.83, 468.78
-229.26, 63.32, 475.56
-230.06, 64.60, 411.12
-231.95, 65.04, 431.19
-231.04, 63.79, 807.65
-232.88, 64.22, 447.58
-222.44, 59.89, 454.27
-223.88, 60.46, 408.14
-223.48, 59.14, 1060.80
-224.91, 59.70, 501.94
-225.37, 61.01, 438.62
-226.93, 61.54, 417.03
-226.39, 60.24, 621.89
-227.93, 60.76, 453.75
-224.49, 58.39, 422.52
-225.90, 58.94, 835.65
-225.47, 57.63, 564.93
-226.87, 58.17, 464.86
-227.37, 59.47, 822.47
-228.88, 59.97, 505.66
-228.31, 58.69, 411.38
-229.81, 59.19, 498.52
-228.56, 62.04, 532.04
-230.24, 62.52, 411.85
-229.52, 61.25, 542.42
-231.17, 61.72, 447.24
-231.98, 62.97, 388.76
-233.78, 63.39, 483.53
-232.88, 62.16, 393.19
-234.65, 62.56, 373.74
-230.45, 60.45, 400.28
-232.07, 60.91, 519.73
-231.35, 59.66, 402.38
-232.95, 60.10, 416.64
-233.75, 61.34, 450.11
-235.48, 61.74, 534.15
-234.60, 60.52, 460.03
-236.29, 60.91, 563.75
-231.99, 67.12, 426.16
-234.12, 67.52, 396.30
-232.97, 66.29, 399.69
-235.05, 66.68, 532.61
-236.34, 67.89, 376.90
-238.63, 68.22, 532.75
-237.19, 67.03, 863.92
-239.41, 67.35, 444.08
-233.90, 65.45, 1070.14
-235.92, 65.83, 417.21
-234.79, 64.62, 378.57
-236.76, 64.99, 382.20
-238.01, 66.18, 406.06
-240.16, 66.48, 421.86
-238.80, 65.32, 391.72
-240.88, 65.62, 786.21
-240.99, 68.51, 368.99
-243.41, 68.75, 382.41
-241.69, 67.63, 454.46
-244.03, 67.87, 468.56
-245.88, 68.95, 365.16
-248.41, 69.11, 352.30
-246.42, 68.06, 330.93
-248.85, 68.21, 337.68
-242.37, 66.75, 333.08
-244.63, 66.98, 423.34
-243.02, 65.87, 361.55
-245.21, 66.09, 414.58
-246.93, 67.16, 388.23
-249.27, 67.31, 348.37
-247.43, 66.27, 323.58
-249.70, 66.41, 400.16
-235.65, 63.78, 358.48
-237.57, 64.14, 412.31
-236.47, 62.94, 368.48
-238.35, 63.29, 355.62
-239.55, 64.46, 957.60
-241.58, 64.75, 384.30
-240.27, 63.60, 350.37
-242.25, 63.88, 530.29
-237.27, 62.10, 454.44
-239.10, 62.44, 364.98
-238.04, 61.26, 358.87
-239.83, 61.59, 345.98
-240.98, 62.74, 382.39
-242.90, 63.01, 403.87
-241.66, 61.88, 2055.22
-243.54, 62.14, 344.17
-243.66, 65.00, 384.64
-245.77, 65.21, 410.27
-244.27, 64.12, 384.40
-246.32, 64.32, 403.37
-247.93, 65.38, 333.48
-250.11, 65.50, 407.63
-248.41, 64.48, 345.48
-250.53, 64.60, 337.70
-244.86, 63.24, 345.77
-246.86, 63.43, 360.98
-245.45, 62.36, 433.82
-247.39, 62.55, 375.11
-248.89, 63.59, 497.72
-250.94, 63.70, 432.95
-249.36, 62.70, 443.96
-251.35, 62.80, 379.45
-209.95, 46.25, 656.81
-210.73, 47.00, 568.61
-210.91, 45.62, 550.26
-211.70, 46.36, 597.91
-211.53, 47.74, 514.64
-212.37, 48.47, 520.52
-212.51, 47.10, 491.85
-213.35, 47.82, 530.77
-211.86, 44.99, 593.99
-212.65, 45.72, 522.32
-212.80, 44.35, 581.41
-213.59, 45.08, 519.61
-213.46, 46.45, 579.52
-214.30, 47.17, 490.74
-214.40, 45.80, 523.68
-215.24, 46.51, 485.80
-213.23, 49.19, 490.17
-214.13, 49.90, 518.81
-214.21, 48.54, 727.51
-215.11, 49.24, 1253.24
-215.05, 50.61, 499.61
-216.01, 51.30, 492.81
-216.04, 49.94, 481.96
-217.00, 50.62, 480.04
-215.17, 47.88, 482.79
-216.07, 48.57, 532.25
-216.11, 47.21, 539.88
-217.01, 47.90, 488.20
-217.00, 49.26, 488.37
-217.96, 49.94, 463.39
-217.94, 48.58, 465.18
-218.90, 49.25, 488.73
-213.72, 43.71, 576.24
-214.51, 44.43, 503.39
-214.62, 43.07, 526.61
-215.41, 43.78, 1092.93
-215.32, 45.15, 523.69
-216.17, 45.85, 611.43
-216.23, 44.49, 555.52
-217.07, 45.19, 544.51
-215.50, 42.42, 512.41
-216.30, 43.13, 507.62
-216.38, 41.77, 551.04
-217.17, 42.47, 494.37
-217.12, 43.83, 541.12
-217.96, 44.52, 569.09
-217.99, 43.17, 563.75
-218.84, 43.85, 509.30
-217.03, 46.54, 465.20
-217.93, 47.23, 468.10
-217.94, 45.87, 486.89
-218.84, 46.55, 474.96
-218.86, 47.90, 449.20
-219.82, 48.56, 466.20
-219.76, 47.21, 495.04
-220.72, 47.87, 481.64
-218.83, 45.20, 493.73
-219.73, 45.87, 527.09
-219.71, 44.52, 499.20
-220.60, 45.19, 447.35
-220.65, 46.53, 506.80
-221.60, 47.17, 502.66
-221.52, 45.84, 457.50
-222.47, 46.47, 453.66
-217.01, 51.98, 483.42
-218.04, 52.64, 525.55
-217.99, 51.29, 546.32
-219.02, 51.95, 449.67
-219.11, 53.29, 471.89
-220.23, 53.93, 458.70
-220.09, 52.59, 449.21
-221.20, 53.22, 498.48
-218.95, 50.60, 483.03
-219.98, 51.25, 498.75
-219.89, 49.90, 511.29
-220.91, 50.54, 507.07
-221.04, 51.88, 461.49
-222.14, 52.50, 512.07
-221.97, 51.17, 429.43
-223.07, 51.78, 434.23
-221.38, 54.56, 479.98
-222.57, 55.16, 453.03
-222.34, 53.83, 427.95
-223.53, 54.43, 642.83
-223.81, 55.75, 453.21
-225.10, 56.32, 424.63
-224.76, 55.01, 411.92
-226.03, 55.57, 511.83
-223.28, 53.11, 452.70
-224.46, 53.70, 443.20
-224.20, 52.38, 462.69
-225.38, 52.96, 471.37
-225.69, 54.27, 550.86
-226.95, 54.82, 415.38
-226.58, 53.52, 439.46
-227.84, 54.06, 637.70
-220.81, 49.21, 596.37
-221.83, 49.84, 471.22
-221.71, 48.50, 434.92
-222.72, 49.13, 480.22
-222.88, 50.46, 419.89
-223.97, 51.06, 451.20
-223.78, 49.74, 433.44
-224.86, 50.34, 425.78
-222.59, 47.80, 456.34
-223.60, 48.42, 472.12
-223.46, 47.10, 446.23
-224.47, 47.71, 478.78
-224.65, 49.02, 426.71
-225.73, 49.61, 459.66
-225.51, 48.30, 450.59
-226.58, 48.88, 410.59
-225.10, 51.65, 451.78
-226.26, 52.22, 462.05
-225.98, 50.92, 490.40
-227.14, 51.48, 422.64
-227.47, 52.77, 408.07
-228.70, 53.30, 414.74
-228.33, 52.02, 535.33
-229.56, 52.54, 469.07
-226.84, 50.18, 524.62
-227.99, 50.73, 424.93
-227.69, 49.44, 563.48
-228.83, 49.99, 437.00
-229.17, 51.27, 501.59
-230.39, 51.78, 440.43
-230.00, 50.52, 436.45
-231.21, 51.02, 493.14
-217.24, 41.12, 1120.52
-218.03, 41.81, 515.97
-218.09, 40.46, 565.77
-218.88, 41.15, 425.95
-218.85, 42.50, 451.92
-219.70, 43.18, 701.13
-219.70, 41.83, 1719.89
-220.55, 42.51, 471.70
-218.92, 39.80, 453.50
-219.72, 40.49, 454.14
-219.75, 39.14, 514.89
-220.55, 39.82, 475.67
-220.54, 41.17, 607.50
-221.38, 41.83, 489.55
-221.37, 40.49, 452.89
-222.21, 41.15, 481.21
-220.57, 43.85, 539.24
