# az(deg), al(deg), L(cd) 
-184.48, 55.55, 530.80
-184.94, 56.44, 658.97
-185.94, 55.15, 472.54
-186.43, 56.03, 762.36
-185.42, 57.32, 653.03
-185.93, 58.20, 640.09
-186.94, 56.91, 606.86
-187.48, 57.78, 569.87
-187.37, 54.73, 534.55
-187.88, 55.60, 654.85
-188.77, 54.29, 553.95
-189.31, 55.16, 583.31
-188.42, 56.47, 589.37
-188.99, 57.34, 664.15
-189.87, 56.03, 621.78
-190.47, 56.89, 584.38
-186.46, 59.08, 706.25
-187.03, 59.96, 675.16
-188.04, 58.65, 1994.93
-188.64, 59.52, 725.78
-187.63, 60.83, 631.28
-188.26, 61.70, 677.91
-189.27, 60.39, 622.28
-189.94, 61.25, 601.75
-189.59, 58.21, 672.54
-190.21, 59.07, 1550.77
-191.09, 57.75, 902.06
-191.75, 58.60, 715.71
-190.88, 59.93, 560.18
-191.58, 60.78, 563.79
-192.44, 59.45, 574.43
-193.17, 60.29, 550.96
-190.14, 53.84, 562.59
-190.70, 54.70, 600.32
-191.48, 53.38, 675.07
-192.07, 54.23, 707.09
-191.29, 55.56, 723.26
-191.91, 56.42, 673.52
-192.67, 55.08, 826.08
-193.31, 55.93, 684.93
-192.80, 52.90, 541.60
-193.40, 53.75, 682.71
-194.08, 52.41, 559.22
-194.70, 53.25, 702.76
-194.03, 54.59, 773.80
-194.69, 55.43, 717.15
-195.35, 54.09, 665.53
-196.03, 54.92, 748.50
-192.56, 57.27, 726.91
-193.24, 58.11, 668.93
-193.99, 56.77, 658.16
-194.69, 57.61, 647.04
-193.96, 58.95, 703.52
-194.72, 59.79, 673.51
-195.44, 58.45, 656.33
-196.22, 59.27, 737.47
-195.38, 56.27, 633.85
-196.11, 57.10, 631.78
-196.74, 55.75, 651.34
-197.49, 56.57, 526.01
-196.87, 57.92, 542.90
-197.68, 58.74, 542.63
-198.27, 57.38, 467.11
-199.09, 58.19, 438.88
-188.93, 62.57, 663.14
-189.65, 63.43, 645.21
-190.65, 62.11, 542.79
-191.41, 62.96, 681.62
-190.42, 64.29, 677.16
-191.24, 65.14, 564.41
-192.22, 63.81, 655.83
-193.08, 64.65, 567.39
-192.33, 61.63, 713.05
-193.12, 62.47, 753.88
-193.95, 61.13, 627.44
-194.77, 61.97, 612.45
-193.96, 63.31, 565.75
-194.86, 64.14, 616.02
-195.64, 62.79, 537.55
-196.57, 63.61, 499.66
-192.12, 65.98, 614.99
-193.07, 66.82, 555.29
-194.01, 65.48, 559.04
-195.00, 66.31, 785.57
-194.09, 67.65, 558.76
-195.20, 68.48, 536.93
-196.06, 67.13, 547.89
-197.21, 67.94, 514.56
-195.82, 64.96, 547.51
-196.85, 65.78, 671.55
-197.57, 64.43, 554.32
-198.63, 65.23, 532.09
-197.95, 66.58, 523.46
-199.13, 67.38, 574.97
-199.76, 66.02, 472.58
-200.97, 66.80, 665.79
-195.52, 60.62, 618.50
-196.37, 61.45, 552.67
-197.05, 60.09, 615.52
-197.92, 60.91, 496.74
-197.27, 62.26, 1411.64
-198.23, 63.07, 634.31
-198.85, 61.71, 647.92
-199.83, 62.51, 557.81
-198.52, 59.55, 455.65
-199.42, 60.35, 516.80
-199.96, 59.00, 488.71
-200.88, 59.79, 520.72
-200.37, 61.15, 537.93
-201.37, 61.94, 492.41
-201.84, 60.57, 494.78
-202.86, 61.35, 753.67
-199.25, 63.87, 1003.79
-200.33, 64.66, 502.58
-200.87, 63.30, 534.82
-201.98, 64.08, 509.39
-201.49, 65.44, 610.85
-202.73, 66.21, 517.91
-203.16, 64.84, 487.72
-204.41, 65.60, 494.91
-202.43, 62.71, 523.69
-203.56, 63.48, 542.28
-203.94, 62.11, 528.19
-205.08, 62.87, 581.87
-204.76, 64.23, 527.95
-206.03, 64.97, 526.63
-206.29, 63.61, 486.79
-207.57, 64.33, 589.15
-195.34, 51.90, 608.53
-195.98, 52.74, 711.68
-196.57, 51.39, 726.30
-197.22, 52.22, 846.09
-196.64, 53.57, 711.27
-197.34, 54.39, 661.00
-197.90, 53.04, 720.05
-198.62, 53.86, 650.19
-197.78, 50.86, 679.41
-198.44, 51.68, 684.31
-198.96, 50.33, 661.39
-199.64, 51.14, 753.58
-199.14, 52.50, 801.80
-199.86, 53.31, 632.75
-200.34, 51.95, 660.25
-201.08, 52.75, 665.92
-198.07, 55.21, 714.98
-198.83, 56.03, 449.50
-199.36, 54.67, 791.08
-200.14, 55.48, 573.22
-199.63, 56.84, 422.39
-200.47, 57.64, 481.54
-200.95, 56.27, 497.92
-201.81, 57.06, 500.12
-200.62, 54.11, 630.19
-201.41, 54.91, 530.36
-201.85, 53.55, 641.26
-202.66, 54.34, 608.53
-202.24, 55.70, 534.98
-203.11, 56.48, 569.65
-203.50, 55.12, 519.99
-204.38, 55.89, 485.50
