# az(deg), al(deg), L(cd) 
-218.73, 49.86, 511.07
-219.65, 50.56, 636.97
-219.66, 49.16, 455.33
-220.59, 49.86, 739.24
-220.60, 51.27, 631.38
-221.58, 51.96, 618.93
-221.53, 50.55, 587.21
-222.51, 51.24, 551.19
-220.57, 48.46, 517.33
-221.49, 49.15, 635.06
-221.45, 47.74, 537.51
-222.37, 48.43, 566.29
-222.44, 49.84, 571.21
-223.41, 50.51, 644.50
-223.31, 49.11, 603.96
-224.29, 49.78, 567.58
-222.60, 52.64, 684.10
-223.64, 53.32, 653.85
-223.52, 51.92, 1947.27
-224.56, 52.58, 704.32
-224.72, 53.98, 611.06
-225.83, 54.63, 657.10
-225.64, 53.24, 603.13
-226.75, 53.88, 583.24
-224.42, 51.18, 652.88
-225.46, 51.84, 1512.15
-225.29, 50.44, 877.91
-226.32, 51.09, 696.07
-226.53, 52.49, 543.30
-227.63, 53.12, 546.99
-227.39, 51.73, 558.20
-228.48, 52.36, 535.39
-222.31, 47.03, 547.08
-223.23, 47.71, 583.94
-223.14, 46.31, 657.46
-224.06, 46.98, 688.71
-224.17, 48.38, 703.83
-225.14, 49.04, 655.47
-225.00, 47.65, 804.58
-225.97, 48.30, 667.39
-223.96, 45.58, 528.79
-224.87, 46.25, 665.80
-224.76, 44.85, 546.86
-225.67, 45.51, 685.99
-225.81, 46.91, 754.33
-226.77, 47.56, 699.45
-226.60, 46.16, 650.03
-227.56, 46.81, 730.54
-226.14, 49.70, 707.63
-227.16, 50.34, 651.21
-226.96, 48.95, 641.41
-227.98, 49.59, 630.66
-228.22, 50.97, 685.03
-229.31, 51.59, 655.86
-229.03, 50.21, 639.77
-230.12, 50.82, 718.87
-227.76, 48.20, 618.60
-228.78, 48.82, 616.65
-228.54, 47.44, 636.41
-229.55, 48.06, 514.87
-229.82, 49.44, 530.29
-230.90, 50.05, 530.04
-230.59, 48.67, 457.72
-231.66, 49.27, 430.30
-226.99, 55.27, 642.88
-228.18, 55.90, 625.57
-227.89, 54.51, 525.68
-229.08, 55.13, 662.00
-229.42, 56.52, 657.25
-230.69, 57.12, 546.87
-230.30, 55.74, 636.98
-231.57, 56.33, 550.54
-228.77, 53.75, 693.25
-229.94, 54.36, 733.41
-229.61, 52.98, 610.24
-230.78, 53.58, 595.75
-231.15, 54.96, 549.45
-232.41, 55.54, 598.89
-231.98, 54.17, 522.67
-233.22, 54.74, 485.78
-232.02, 57.70, 596.87
-233.38, 58.27, 538.59
-232.87, 56.90, 542.62
-234.22, 57.46, 765.07
-234.80, 58.82, 542.38
-236.26, 59.35, 521.36
-235.62, 58.00, 532.33
-237.06, 58.53, 500.03
-233.70, 56.10, 532.04
-235.03, 56.65, 653.78
-234.49, 55.30, 539.41
-235.81, 55.84, 517.89
-236.41, 57.19, 509.04
-237.82, 57.70, 559.83
-237.17, 56.37, 459.94
-238.56, 56.87, 649.22
-230.43, 52.20, 602.27
-231.59, 52.80, 538.13
-231.23, 51.42, 600.16
-232.37, 52.01, 484.48
-232.78, 53.38, 1376.73
-234.00, 53.94, 618.07
-233.55, 52.58, 631.91
-234.76, 53.14, 544.18
-232.00, 50.64, 445.47
-233.13, 51.22, 504.98
-232.75, 49.86, 478.67
-233.87, 50.43, 509.77
-234.30, 51.79, 525.60
-235.50, 52.34, 481.38
-235.03, 50.99, 484.59
-236.22, 51.53, 736.25
-235.26, 54.49, 979.03
-236.56, 55.03, 489.78
-236.01, 53.68, 521.89
-237.29, 54.21, 497.26
-237.90, 55.54, 595.77
-239.28, 56.04, 505.24
-238.61, 54.72, 476.32
-239.97, 55.21, 483.57
-236.73, 52.87, 511.91
-238.00, 53.39, 530.16
-237.43, 52.06, 517.21
-238.68, 52.57, 569.52
-239.30, 53.89, 516.38
-240.63, 54.37, 515.33
-239.97, 53.06, 477.22
-241.28, 53.54, 576.98
-225.53, 44.11, 595.47
-226.44, 44.77, 695.29
-226.30, 43.37, 709.82
-227.20, 44.02, 825.55
-227.37, 45.41, 695.03
-228.33, 46.05, 646.48
-228.13, 44.66, 704.13
-229.08, 45.29, 636.79
-227.04, 42.63, 665.21
-227.94, 43.27, 670.10
-227.77, 41.88, 648.42
-228.67, 42.52, 737.16
-228.86, 43.91, 783.39
-229.81, 44.53, 620.69
-229.59, 43.15, 647.69
-230.53, 43.77, 653.25
-229.31, 46.68, 698.81
-230.31, 47.29, 441.82
-230.05, 45.91, 772.95
-231.05, 46.52, 562.52
-231.34, 47.90, 415.51
-232.40, 48.49, 472.79
-232.07, 47.12, 489.72
-233.12, 47.71, 491.83
-230.78, 45.15, 618.29
-231.77, 45.75, 522.06
-231.49, 44.38, 629.64
-232.47, 44.97, 598.18
-232.78, 46.34, 526.51
-233.83, 46.92, 559.95
-233.48, 45.56, 512.98
-234.51, 46.13, 479.72
-228.49, 41.14, 690.93
-229.38, 41.77, 648.91
-229.19, 40.38, 892.18
-230.08, 41.01, 670.01
-230.29, 42.39, 644.24
-231.23, 43.00, 622.80
-230.99, 41.63, 688.21
-231.92, 42.24, 572.70
-229.88, 39.63, 587.02
-230.76, 40.25, 658.38
-230.56, 38.87, 649.82
-231.44, 39.49, 581.79
-231.67, 40.86, 554.18
-232.59, 41.47, 546.99
-232.34, 40.10, 623.20
-233.26, 40.69, 542.16
-232.19, 43.61, 591.59
-233.16, 44.20, 580.10
-232.87, 42.83, 544.28
-233.84, 43.42, 503.00
-234.16, 44.78, 606.12
-235.19, 45.34, 510.05
-234.84, 43.99, 547.72
-235.85, 44.55, 584.57
-233.54, 42.06, 516.22
-234.51, 42.64, 504.81
-234.20, 41.28, 511.92
-235.16, 41.85, 524.85
-235.49, 43.20, 573.08
-236.50, 43.76, 590.46
-236.14, 42.42, 534.06
-237.14, 42.97, 514.27
-233.48, 49.07, 559.60
-234.60, 49.63, 503.14
-234.20, 48.28, 486.21
-235.30, 48.84, 485.12
-235.74, 50.19, 637.44
-236.91, 50.72, 559.91
-236.43, 49.38, 571.60
-237.59, 49.91, 555.94
-234.89, 47.49, 492.03
-235.99, 48.04, 484.36
-235.57, 46.69, 509.55
-236.66, 47.24, 636.31
-237.11, 48.58, 482.81
-238.25, 49.10, 486.75
-237.77, 47.77, 574.97
-238.90, 48.29, 522.02
-238.12, 51.24, 517.27
-239.35, 51.75, 466.03
-238.78, 50.43, 496.73
-240.00, 50.92, 503.14
-240.62, 52.23, 545.11
-241.91, 52.70, 468.68
-241.25, 51.40, 518.55
-242.53, 51.86, 505.37
-239.43, 49.61, 475.06
-240.64, 50.10, 482.06
-240.07, 48.79, 613.43
-241.25, 49.27, 490.25
-241.87, 50.57, 480.36
-243.13, 51.03, 536.44
-242.47, 49.74, 468.24
-243.72, 50.19, 468.22
-236.24, 45.90, 515.98
-237.31, 46.44, 507.13
-236.89, 45.10, 678.34
-237.96, 45.63, 495.80
-238.41, 46.96, 518.41
-239.54, 47.47, 461.89
-239.05, 46.15, 471.22
-240.16, 46.66, 580.11
-237.53, 44.30, 487.69
-238.59, 44.83, 472.34
-238.16, 43.50, 528.28
-239.21, 44.02, 474.00
-239.67, 45.34, 469.04
-240.77, 45.84, 472.67
-240.28, 44.53, 548.25
-241.37, 45.03, 481.65
-240.69, 47.97, 471.22
-241.86, 48.44, 536.71
-241.29, 47.15, 447.70
-242.46, 47.62, 470.29
-243.06, 48.91, 474.89
-244.29, 49.35, 510.48
-243.64, 48.07, 501.57
-244.86, 48.51, 419.99
-241.89, 46.32, 504.58
-243.04, 46.79, 450.79
-242.48, 45.50, 506.60
-243.62, 45.96, 446.82
-244.22, 47.24, 445.72
-245.41, 47.67, 444.54
-244.78, 46.41, 447.19
-245.96, 46.83, 420.95
-237.77, 59.86, 518.22
-239.34, 60.35, 552.39
-238.55, 59.03, 496.15
-240.08, 59.51, 489.48
-240.95, 60.82, 520.70
-242.61, 61.26, 545.55
-241.66, 59.97, 503.35
-243.29, 60.40, 505.12
-239.29, 58.19, 569.93
-240.79, 58.67, 468.28
-240.00, 57.36, 503.33
-241.48, 57.82, 477.46
-242.34, 59.12, 695.21
-243.94, 59.55, 477.97
-243.00, 58.27, 491.98
-244.57, 58.68, 430.12
-244.33, 61.68, 606.65
-246.09, 62.08, 496.78
-244.96, 60.82, 501.37
-246.69, 61.20, 468.51
-247.90, 62.44, 495.70
-249.76, 62.78, 669.02
-248.45, 61.56, 469.55
-250.26, 61.89, 437.84
-245.58, 59.95, 565.64
-247.26, 60.33, 426.14
-246.17, 59.08, 468.77
-247.81, 59.45, 505.09
-248.98, 60.68, 457.84
-250.75, 61.00, 497.10
-249.50, 59.79, 459.08
-251.22, 60.11, 522.95
-240.69, 56.52, 471.45
-242.14, 56.98, 532.78
-241.36, 55.68, 464.29
-242.79, 56.13, 499.39
-243.64, 57.41, 488.21
-245.17, 57.82, 449.19
-244.25, 56.56, 449.28
-245.76, 56.96, 429.61
-242.00, 54.84, 548.34
-243.41, 55.28, 513.95
-242.63, 53.99, 480.69
-244.01, 54.43, 575.42
-244.85, 55.70, 513.88
-246.33, 56.10, 508.36
-245.43, 54.84, 519.20
-246.88, 55.24, 427.13
-246.74, 58.21, 441.59
-248.35, 58.58, 444.47
-247.30, 57.34, 417.89
-248.87, 57.70, 409.64
-249.99, 58.91, 421.79
-251.67, 59.22, 446.75
-250.48, 58.03, 418.48
-252.12, 58.34, 459.10
-247.83, 56.47, 459.79
-249.38, 56.82, 442.47
-248.36, 55.60, 679.69
-249.87, 55.95, 453.50
-250.95, 57.15, 436.96
-252.55, 57.45, 432.26
-251.41, 56.27, 422.30
-252.98, 56.56, 645.47
-251.66, 63.08, 467.07
-253.61, 63.36, 443.40
-252.11, 62.19, 609.68
-254.00, 62.46, 403.96
-255.59, 63.60, 461.10
-257.60, 63.81, 476.38
-255.93, 62.69, 436.51
-257.88, 62.90, 412.15
-252.55, 61.29, 514.07
-254.39, 61.56, 449.46
-252.97, 60.40, 512.51
-254.76, 60.66, 426.24
-256.26, 61.79, 560.87
-258.16, 61.99, 620.45
-256.58, 60.89, 448.85
-258.43, 61.08, 424.21
-259.65, 63.98, 404.19
-261.72, 64.12, 373.40
-259.87, 63.07, 397.61
-261.87, 63.20, 437.96
-263.82, 64.22, 434.57
-265.92, 64.28, 383.60
-263.90, 63.30, 412.38
-265.94, 63.36, 350.08
-260.08, 62.16, 376.59
-262.03, 62.29, 397.29
-260.30, 61.24, 365.19
-262.19, 61.37, 416.81
-263.99, 62.39, 381.60
-265.96, 62.45, 356.41
-264.09, 61.47, 394.73
-266.01, 61.53, 353.22
-253.39, 59.51, 552.76
-255.13, 59.76, 403.17
-253.79, 58.61, 497.32
-255.49, 58.86, 447.12
-256.90, 59.98, 399.83
-258.70, 60.17, 395.91
-257.22, 59.08, 422.28
-258.97, 59.27, 437.90
-254.19, 57.72, 425.78
-255.85, 57.96, 409.46
-254.58, 56.83, 598.99
-256.20, 57.07, 416.23
-257.54, 58.18, 385.10
-259.24, 58.36, 403.74
-257.85, 57.28, 410.18
-259.51, 57.46, 384.77
-260.52, 60.33, 395.07
-262.35, 60.46, 374.27
-260.74, 59.43, 401.56
-262.53, 59.55, 393.19
-264.21, 60.56, 669.91
-266.07, 60.62, 356.63
-264.33, 59.64, 345.78
-266.14, 59.70, 375.09
-260.97, 58.52, 392.90
-262.71, 58.64, 361.33
-261.20, 57.61, 393.19
-262.90, 57.73, 548.31
-264.46, 58.73, 458.39
-266.23, 58.79, 346.97
-264.60, 57.82, 393.14
-266.32, 57.87, 348.90
-243.24, 53.15, 488.26
-244.60, 53.58, 490.12
-243.84, 52.31, 898.19
-245.18, 52.73, 555.56
-245.99, 53.99, 447.28
-247.42, 54.37, 467.00
-246.55, 53.13, 454.78
-247.94, 53.51, 678.53
-244.42, 51.46, 647.04
-245.74, 51.88, 437.36
-244.99, 50.62, 462.80
-246.29, 51.03, 557.84
-247.09, 52.27, 495.88
-248.46, 52.65, 408.54
-247.61, 51.42, 469.10
-248.97, 51.78, 387.52
-248.87, 54.73, 409.33
-250.35, 55.07, 391.17
-249.37, 53.86, 390.90
-250.83, 54.20, 396.64
-251.86, 55.39, 422.89
-253.40, 55.68, 383.51
-252.31, 54.51, 410.21
-253.81, 54.79, 445.78
-249.86, 53.00, 400.97
-251.29, 53.32, 455.02
-250.34, 52.13, 467.77
-251.75, 52.45, 474.64
-252.74, 53.63, 411.43
-254.22, 53.90, 431.26
-253.17, 52.75, 797.40
-254.62, 53.02, 448.09
-245.55, 49.77, 453.73
-246.83, 50.18, 409.19
-246.09, 48.93, 1041.07
-247.36, 49.33, 500.83
-248.13, 50.56, 438.92
-249.46, 50.92, 418.20
-248.64, 49.70, 617.09
-249.96, 50.06, 454.65
-246.63, 48.08, 424.70
-247.88, 48.47, 823.82
-247.16, 47.24, 562.77
-248.39, 47.62, 466.53
-249.15, 48.85, 811.38
-250.44, 49.20, 505.64
-249.64, 47.99, 415.17
-250.92, 48.34, 499.48
-250.82, 51.26, 529.95
-252.20, 51.58, 413.72
-251.29, 50.39, 540.74
-252.64, 50.70, 448.91
-253.60, 51.87, 391.64
-255.02, 52.14, 483.85
-254.02, 50.99, 396.89
-255.42, 51.25, 378.39
-251.75, 49.53, 404.09
-253.09, 49.83, 519.83
-252.21, 48.66, 407.02
-253.52, 48.96, 421.07
-254.44, 50.11, 452.86
-255.82, 50.37, 534.45
-254.86, 49.24, 463.25
-256.21, 49.49, 563.70
-254.96, 55.94, 424.94
-256.55, 56.17, 396.15
-255.34, 55.05, 400.02
-256.90, 55.28, 529.80
-258.16, 56.38, 377.58
-259.78, 56.55, 529.91
-258.47, 55.48, 852.81
-260.06, 55.65, 444.34
-255.72, 54.16, 1052.96
-257.24, 54.38, 418.36
-256.09, 53.27, 381.42
-257.59, 53.49, 385.32
-258.78, 54.58, 407.90
-260.34, 54.75, 423.67
-259.09, 53.68, 394.96
-260.62, 53.85, 778.50
-261.43, 56.70, 370.62
-263.09, 56.82, 384.12
-261.67, 55.79, 454.86
-263.29, 55.91, 469.02
-264.76, 56.90, 367.73
-266.43, 56.96, 355.65
-264.92, 55.99, 335.45
-266.55, 56.04, 342.50
-261.91, 54.89, 337.74
-263.49, 55.00, 425.97
-262.16, 53.98, 366.49
-263.71, 54.09, 418.43
-265.09, 55.08, 392.28
-266.69, 55.13, 353.97
-265.26, 54.17, 330.49
-266.83, 54.22, 405.29
-256.47, 52.38, 362.95
-257.93, 52.60, 415.53
