# az(deg), al(deg), L(cd) 
-207.30, 52.88, 513.84
-208.12, 53.66, 641.16
-208.43, 52.26, 456.98
-209.27, 53.04, 744.27
-208.98, 54.43, 635.54
-209.87, 55.20, 622.97
-210.13, 53.80, 590.46
-211.03, 54.56, 554.05
-209.54, 51.64, 519.25
-210.37, 52.40, 638.48
-210.61, 51.01, 539.23
-211.45, 51.76, 568.40
-211.24, 53.16, 573.85
-212.15, 53.91, 648.04
-212.33, 52.51, 606.59
-213.24, 53.25, 569.75
-210.79, 55.96, 688.84
-211.75, 56.71, 658.29
-211.96, 55.31, 1965.99
-212.93, 56.05, 708.94
-212.76, 57.45, 615.06
-213.81, 58.19, 661.57
-213.93, 56.79, 606.64
-214.98, 57.51, 586.55
-213.08, 54.65, 656.54
-214.06, 55.39, 1526.01
-214.18, 53.99, 884.03
-215.15, 54.71, 699.91
-215.07, 56.11, 545.69
-216.12, 56.83, 549.45
-216.17, 55.43, 560.34
-217.22, 56.13, 537.27
-211.65, 50.36, 548.50
-212.50, 51.11, 585.87
-212.67, 49.71, 660.10
-213.52, 50.45, 691.81
-213.38, 51.85, 707.42
-214.29, 52.59, 658.41
-214.41, 51.19, 809.33
-215.32, 51.91, 670.13
-213.66, 49.05, 529.05
-214.52, 49.79, 668.22
-214.63, 48.39, 547.04
-215.49, 49.12, 688.45
-215.40, 50.52, 758.11
-216.32, 51.23, 702.36
-216.37, 49.83, 651.90
-217.29, 50.55, 733.71
-215.24, 53.31, 711.27
-216.21, 54.03, 654.09
-216.27, 52.63, 643.80
-217.25, 53.34, 632.91
-217.23, 54.74, 688.39
-218.29, 55.43, 658.85
-218.26, 54.04, 642.18
-219.31, 54.72, 722.38
-217.27, 51.94, 620.30
-218.25, 52.64, 618.36
-218.24, 51.25, 638.08
-219.22, 51.94, 514.69
-219.26, 53.33, 530.78
-220.31, 54.01, 530.59
-220.23, 52.62, 456.72
-221.28, 53.29, 428.98
-214.90, 58.91, 647.20
-216.04, 59.62, 629.71
-216.08, 58.22, 528.36
-217.23, 58.93, 666.14
-217.24, 60.32, 661.68
-218.49, 61.01, 550.16
-218.42, 59.62, 640.84
-219.67, 60.29, 553.46
-217.22, 57.53, 697.40
-218.36, 58.22, 738.00
-218.32, 56.83, 613.06
-219.46, 57.51, 598.39
-219.56, 58.90, 551.97
-220.80, 59.57, 601.95
-220.65, 58.18, 524.46
-221.88, 58.83, 487.15
-219.80, 61.69, 600.60
-221.17, 62.34, 541.69
-220.97, 60.96, 545.42
-222.33, 61.60, 770.12
-222.61, 62.99, 545.43
-224.11, 63.61, 524.12
-223.76, 62.23, 534.92
-225.25, 62.85, 502.19
-222.09, 60.22, 534.34
-223.45, 60.86, 657.36
-223.17, 59.48, 541.40
-224.52, 60.10, 519.60
-224.86, 61.47, 511.00
-226.33, 62.08, 562.26
-225.91, 60.71, 460.97
-227.37, 61.30, 652.34
-219.38, 56.12, 604.60
-220.52, 56.79, 539.67
-220.41, 55.40, 602.09
-221.54, 56.06, 484.92
-221.70, 57.45, 1388.75
-222.93, 58.09, 620.65
-222.72, 56.71, 634.33
-223.94, 57.35, 545.49
-221.40, 54.68, 444.87
-222.53, 55.33, 505.30
-222.36, 53.95, 478.14
-223.49, 54.59, 509.78
-223.70, 55.97, 526.25
-224.92, 56.60, 481.48
-224.65, 55.22, 484.31
-225.86, 55.84, 739.62
-224.21, 58.73, 986.01
-225.54, 59.34, 490.80
-225.21, 57.97, 522.93
-226.53, 58.57, 498.00
-226.93, 59.94, 598.03
-228.37, 60.52, 506.41
-227.90, 59.16, 476.80
-229.32, 59.73, 484.13
-226.17, 57.21, 512.47
-227.48, 57.80, 530.97
-227.11, 56.44, 517.49
-228.40, 57.03, 570.55
-228.83, 58.38, 517.03
-230.24, 58.94, 515.94
-229.74, 57.59, 476.99
-231.12, 58.14, 578.11
-215.57, 47.72, 596.19
-216.43, 48.44, 697.73
-216.49, 47.04, 712.45
-217.35, 47.75, 830.27
-217.32, 49.15, 697.43
-218.24, 49.85, 648.06
-218.24, 48.46, 706.57
-219.16, 49.15, 638.01
-217.39, 46.36, 666.94
-218.26, 47.06, 671.86
-218.27, 45.67, 649.79
-219.14, 46.37, 740.29
-219.14, 47.76, 787.30
-220.06, 48.45, 621.48
-220.02, 47.06, 648.95
-220.94, 47.74, 654.61
-219.18, 50.55, 701.27
-220.16, 51.23, 440.09
-220.11, 49.84, 776.58
-221.08, 50.51, 562.50
-221.17, 51.90, 413.44
-222.22, 52.56, 471.72
-222.09, 51.18, 488.52
-223.13, 51.83, 490.74
-221.00, 49.13, 619.05
-221.98, 49.79, 521.10
-221.88, 48.41, 630.53
-222.85, 49.07, 598.49
-222.98, 50.45, 525.69
-224.02, 51.10, 559.78
-223.85, 49.72, 511.71
-224.88, 50.36, 477.90
-219.13, 44.97, 693.28
-220.00, 45.67, 650.27
-219.98, 44.27, 899.39
-220.84, 44.96, 671.97
-220.88, 46.35, 645.45
-221.80, 47.02, 623.54
-221.72, 45.64, 690.50
-222.64, 46.31, 572.40
-220.80, 43.57, 587.24
-221.66, 44.25, 660.25
-221.62, 42.87, 651.85
-222.47, 43.54, 581.97
-222.55, 44.92, 553.52
-223.46, 45.59, 546.15
-223.36, 44.20, 624.35
-224.26, 44.86, 541.26
-222.74, 47.69, 591.69
-223.70, 48.34, 579.99
-223.57, 46.96, 543.36
-224.54, 47.61, 501.24
-224.70, 48.98, 606.53
-225.73, 49.62, 508.62
-225.53, 48.25, 546.94
-226.55, 48.87, 584.54
-224.39, 46.24, 514.68
-225.35, 46.88, 503.02
-225.19, 45.51, 510.30
-226.15, 46.14, 523.53
-226.34, 47.50, 572.81
-227.35, 48.12, 590.55
-227.13, 46.76, 532.93
-228.14, 47.37, 512.69
-223.30, 53.21, 559.98
-224.42, 53.85, 502.70
-224.21, 52.47, 485.11
-225.32, 53.10, 484.07
-225.57, 54.47, 639.13
-226.77, 55.08, 560.45
-226.46, 53.72, 572.01
-227.65, 54.32, 556.15
-225.09, 51.73, 490.73
-226.19, 52.35, 483.01
-225.95, 50.98, 508.33
-227.04, 51.60, 637.44
-227.33, 52.96, 481.48
-228.51, 53.55, 485.55
-228.17, 52.19, 575.02
-229.34, 52.78, 521.16
-228.01, 55.67, 517.22
-229.28, 56.25, 465.25
-228.88, 54.90, 496.03
-230.14, 55.47, 502.59
-230.61, 56.81, 545.50
-231.98, 57.35, 467.96
-231.45, 56.02, 518.23
-232.80, 56.55, 504.86
-229.72, 54.12, 473.71
-230.98, 54.68, 480.86
-230.54, 53.34, 614.19
-231.78, 53.89, 488.87
-232.27, 55.22, 479.12
-233.60, 55.74, 536.10
-233.06, 54.42, 466.48
-234.38, 54.94, 466.43
-226.78, 50.23, 514.72
-227.87, 50.84, 505.73
-227.60, 49.48, 680.22
-228.68, 50.08, 494.00
-229.00, 51.43, 517.27
-230.15, 52.00, 459.70
-229.80, 50.66, 468.97
-230.94, 51.23, 579.96
