# az(deg), al(deg), L(cd) 
-205.78, 53.19, 514.21
-206.58, 53.98, 641.66
-206.94, 52.59, 457.24
-207.75, 53.37, 744.86
-207.42, 54.76, 636.03
-208.29, 55.53, 623.46
-208.60, 54.14, 590.87
-209.48, 54.91, 554.42
-208.06, 51.97, 519.51
-208.89, 52.75, 638.89
-209.16, 51.35, 539.48
-209.99, 52.12, 568.68
-209.74, 53.51, 574.19
-210.63, 54.27, 648.48
-210.85, 52.87, 606.92
-211.75, 53.63, 570.05
-209.20, 56.30, 689.40
-210.14, 57.07, 658.81
-210.39, 55.67, 1967.90
-211.35, 56.42, 709.49
-211.13, 57.82, 615.54
-212.16, 58.56, 662.10
-212.34, 57.17, 607.08
-213.38, 57.90, 586.96
-211.55, 55.02, 656.98
-212.51, 55.77, 1527.45
-212.67, 54.37, 884.72
-213.64, 55.10, 700.36
-213.51, 56.50, 546.02
-214.55, 57.23, 549.78
-214.64, 55.83, 560.62
-215.68, 56.54, 537.53
-210.23, 50.72, 548.70
-211.07, 51.48, 586.14
-211.27, 50.08, 660.41
-212.11, 50.83, 692.17
-211.93, 52.23, 707.85
-212.83, 52.97, 658.76
-212.98, 51.57, 809.86
-213.89, 52.31, 670.47
-212.29, 49.43, 529.14
-213.13, 50.17, 668.51
-213.27, 48.78, 547.09
-214.12, 49.51, 688.74
-214.01, 50.91, 758.53
-214.91, 51.64, 702.70
-215.00, 50.24, 652.11
-215.91, 50.96, 734.03
-213.76, 53.71, 711.70
-214.73, 54.43, 654.46
-214.82, 53.03, 644.09
-215.79, 53.75, 633.19
-215.74, 55.15, 688.79
-216.78, 55.85, 659.21
-216.80, 54.46, 642.48
-217.84, 55.16, 722.78
-215.85, 52.35, 620.52
-216.82, 53.06, 618.56
-216.85, 51.67, 638.27
-217.82, 52.37, 514.69
-217.83, 53.76, 530.86
-218.87, 54.45, 530.67
-218.82, 53.06, 456.61
-219.87, 53.74, 428.84
-213.24, 59.30, 647.72
-214.37, 60.02, 630.20
-214.46, 58.62, 528.72
-215.59, 59.34, 666.65
-215.55, 60.73, 662.20
-216.79, 61.43, 550.57
-216.77, 60.04, 641.30
-218.01, 60.73, 553.83
-215.64, 57.94, 697.89
-216.77, 58.64, 738.54
-216.77, 57.25, 613.41
-217.90, 57.94, 598.72
-217.95, 59.34, 552.31
-219.19, 60.01, 602.32
-219.08, 58.62, 524.71
-220.31, 59.29, 487.35
-218.09, 62.12, 601.05
-219.45, 62.79, 542.07
-219.31, 61.40, 545.79
-220.66, 62.06, 770.69
-220.88, 63.45, 545.81
-222.38, 64.09, 524.45
-222.08, 62.71, 535.24
