# az(deg), al(deg), L(cd) 
-202.67, 53.76, 517.42
-203.43, 54.56, 645.10
-203.88, 53.18, 460.24
-204.66, 53.98, 748.43
-204.23, 55.36, 639.45
-205.06, 56.16, 626.83
-205.47, 54.77, 594.13
-206.31, 55.56, 557.60
-205.06, 52.59, 522.57
-205.85, 53.38, 642.20
-206.21, 51.99, 542.48
-207.01, 52.78, 571.75
-206.67, 54.17, 577.34
-207.52, 54.94, 651.77
-207.83, 53.55, 610.07
-208.70, 54.32, 573.10
-205.93, 56.95, 692.88
-206.84, 57.73, 662.23
-207.19, 56.34, 1973.85
-208.11, 57.11, 712.94
-207.79, 58.50, 618.86
-208.78, 59.27, 665.49
-209.07, 57.87, 610.32
-210.07, 58.63, 590.15
-208.41, 55.72, 660.29
-209.34, 56.48, 1532.57
-209.59, 55.08, 888.46
-210.53, 55.84, 703.69
-210.30, 57.23, 549.07
-211.32, 57.98, 552.82
-211.50, 56.58, 563.62
-212.52, 57.32, 540.47
-207.32, 51.39, 551.65
-208.13, 52.16, 589.16
-208.41, 50.77, 663.58
-209.23, 51.54, 695.40
-208.97, 52.93, 711.16
-209.84, 53.69, 661.95
-210.07, 52.30, 813.38
-210.95, 53.05, 673.60
-209.48, 50.14, 531.86
-210.30, 50.90, 671.61
-210.51, 49.51, 549.79
-211.34, 50.26, 691.83
-211.15, 51.66, 761.87
-212.03, 52.40, 705.85
-212.19, 51.00, 655.07
-213.08, 51.74, 737.22
-210.74, 54.44, 715.00
-211.68, 55.19, 657.60
-211.86, 53.79, 647.15
-212.81, 54.53, 636.21
-212.66, 55.93, 692.00
-213.68, 56.65, 662.34
-213.79, 55.26, 645.50
-214.81, 55.98, 725.98
-212.94, 53.14, 623.43
-213.89, 53.86, 621.45
-214.00, 52.47, 641.15
-214.95, 53.19, 517.19
-214.88, 54.58, 533.50
-215.90, 55.29, 533.30
-215.94, 53.90, 458.94
-216.96, 54.60, 431.07
-209.82, 60.02, 651.06
-210.91, 60.77, 633.50
-211.12, 59.37, 531.78
-212.22, 60.11, 669.95
-212.06, 61.51, 665.52
-213.27, 62.23, 553.67
-213.37, 60.84, 644.54
-214.58, 61.55, 556.88
-212.37, 58.72, 701.23
-213.48, 59.44, 741.94
-213.58, 58.05, 616.50
-214.69, 58.76, 601.77
-214.63, 60.15, 555.31
-215.85, 60.86, 605.40
-215.85, 59.47, 527.57
-217.06, 60.16, 490.11
-214.54, 62.94, 604.21
-215.88, 63.64, 545.10
-215.86, 62.25, 548.80
-217.19, 62.93, 774.09
-217.29, 64.32, 548.81
-218.77, 64.99, 527.36
-218.60, 63.60, 538.17
-220.07, 64.25, 505.30
-217.12, 61.54, 537.56
-218.45, 62.22, 660.91
