# az(deg), al(deg), L(cd) 
-197.87, 54.47, 516.47
-198.57, 55.31, 644.46
-199.16, 53.94, 459.00
-199.87, 54.76, 747.94
-199.29, 56.13, 638.79
-200.05, 56.95, 626.16
-200.61, 55.58, 593.26
-201.39, 56.40, 556.64
-200.41, 53.40, 521.34
-201.14, 54.21, 641.30
-201.63, 52.84, 541.15
-202.38, 53.65, 570.53
-201.90, 55.02, 576.28
-202.69, 55.83, 650.94
-203.15, 54.45, 608.98
-203.96, 55.24, 571.91
-200.85, 57.77, 692.37
-201.68, 58.58, 661.64
-202.20, 57.20, 1976.40
-203.06, 58.01, 712.39
-202.56, 59.38, 618.17
-203.48, 60.18, 664.90
-203.95, 58.80, 609.52
-204.88, 59.59, 589.31
-203.52, 56.63, 659.49
-204.38, 57.42, 1534.09
-204.80, 56.03, 888.21
-205.67, 56.82, 702.91
-205.29, 58.20, 548.00
-206.24, 58.98, 551.78
-206.59, 57.59, 562.47
-207.56, 58.36, 539.26
-202.83, 52.27, 550.18
-203.58, 53.07, 587.83
-203.99, 51.69, 662.34
-204.75, 52.48, 694.29
-204.37, 53.86, 710.24
-205.18, 54.65, 660.90
-205.55, 53.27, 812.68
-206.38, 54.05, 672.45
-205.12, 51.09, 529.99
-205.90, 51.88, 670.28
-206.23, 50.49, 547.83
-207.01, 51.27, 690.45
-206.70, 52.66, 760.88
-207.54, 53.43, 704.69
-207.82, 52.04, 653.56
-208.67, 52.81, 736.04
-206.03, 55.43, 714.13
-206.92, 56.21, 656.58
-207.24, 54.82, 645.94
-208.14, 55.58, 634.98
-207.85, 56.97, 691.09
-208.83, 57.73, 661.35
-209.08, 56.34, 644.32
-210.05, 57.09, 725.07
-208.41, 54.20, 621.99
-209.32, 54.95, 620.02
-209.55, 53.57, 639.62
-210.46, 54.31, 515.23
-210.26, 55.70, 531.79
-211.25, 56.44, 531.60
-211.41, 55.05, 456.78
-212.40, 55.78, 428.82
-204.45, 60.97, 650.43
-205.47, 61.75, 632.82
-205.87, 60.37, 530.80
-206.91, 61.14, 669.30
-206.55, 62.52, 664.91
-207.69, 63.28, 552.79
-208.00, 61.90, 643.82
-209.15, 62.64, 555.94
-207.24, 59.75, 700.57
-208.29, 60.51, 741.39
-208.56, 59.12, 615.51
-209.62, 59.87, 600.74
-209.39, 61.26, 554.27
-210.55, 61.99, 604.49
-210.73, 60.61, 526.35
-211.90, 61.33, 488.78
-208.89, 64.03, 603.42
-210.17, 64.77, 544.15
-210.36, 63.38, 547.82
-211.65, 64.11, 773.62
-211.52, 65.50, 547.83
-212.96, 66.20, 526.30
-213.00, 64.82, 537.10
-214.44, 65.51, 504.12
-211.77, 62.72, 536.46
-213.06, 63.43, 660.11
-213.12, 62.04, 543.30
-214.41, 62.74, 521.33
-214.42, 64.13, 512.85
-215.85, 64.81, 564.31
-215.77, 63.43, 462.27
-217.20, 64.10, 654.68
-209.84, 58.48, 606.75
-210.91, 59.22, 541.38
-211.08, 57.83, 603.93
-212.15, 58.56, 485.94
-212.02, 59.94, 1395.92
-213.19, 60.66, 622.83
-213.27, 59.27, 636.35
-214.44, 59.98, 546.86
-212.27, 57.17, 445.24
-213.35, 57.89, 506.09
-213.43, 56.50, 478.39
-214.51, 57.21, 510.25
-214.47, 58.59, 527.19
-215.64, 59.29, 482.06
-215.63, 57.90, 484.57
-216.80, 58.59, 741.83
-214.42, 61.36, 990.47
-215.71, 62.05, 492.04
-215.67, 60.67, 524.12
-216.96, 61.34, 498.96
-217.07, 62.72, 599.88
-218.49, 63.37, 507.59
-218.31, 62.00, 477.54
-219.72, 62.64, 484.85
-216.87, 59.96, 513.24
-218.15, 60.63, 531.83
-218.02, 59.26, 517.96
-219.30, 59.91, 571.39
-219.49, 61.28, 517.73
-220.90, 61.91, 516.57
-220.64, 60.54, 477.07
-222.03, 61.16, 578.90
-207.31, 49.89, 597.10
-208.10, 50.66, 699.55
-208.36, 49.27, 714.20
-209.16, 50.03, 833.10
-208.92, 51.42, 699.22
-209.77, 52.18, 649.40
-209.99, 50.79, 708.17
-210.84, 51.54, 638.95
-209.40, 48.64, 667.97
-210.20, 49.40, 672.90
-210.40, 48.01, 650.35
-211.21, 48.76, 741.78
-211.03, 50.15, 789.45
-211.89, 50.89, 621.94
-212.04, 49.50, 649.43
-212.91, 50.23, 655.11
-210.65, 52.93, 703.05
-211.57, 53.66, 439.61
-211.73, 52.28, 778.78
-212.65, 53.01, 562.71
-212.52, 54.39, 412.75
-213.52, 55.12, 471.52
-213.61, 53.73, 488.08
-214.60, 54.44, 490.33
-212.78, 51.62, 619.48
-213.70, 52.34, 520.57
-213.80, 50.96, 630.74
-214.73, 51.67, 598.39
-214.66, 53.06, 525.20
-215.66, 53.76, 559.64
-215.69, 52.38, 510.73
-216.68, 53.07, 476.60
-211.39, 47.37, 694.09
-212.20, 48.11, 650.50
-212.35, 46.73, 902.52
-213.17, 47.46, 672.24
-213.04, 48.85, 645.59
-213.90, 49.57, 623.43
-214.01, 48.19, 690.93
-214.87, 48.91, 571.41
-213.30, 46.08, 586.29
-214.11, 46.80, 660.18
-214.22, 45.42, 651.63
-215.04, 46.14, 580.69
-214.96, 47.53, 552.07
-215.83, 48.24, 544.59
-215.88, 46.86, 623.62
-216.75, 47.56, 539.43
-214.80, 50.29, 591.20
-215.73, 51.00, 579.37
-215.77, 49.62, 542.06
-216.70, 50.32, 499.45
-216.69, 51.69, 606.23
-217.68, 52.38, 507.30
-217.66, 51.01, 545.69
-218.66, 51.68, 583.76
-216.72, 48.94, 512.75
-217.65, 49.63, 500.98
-217.65, 48.25, 508.06
-218.58, 48.94, 521.48
-218.61, 50.31, 571.62
-219.61, 50.98, 589.60
-219.54, 49.61, 531.04
-220.53, 50.27, 510.59
-214.55, 55.82, 560.52
-215.63, 56.52, 502.76
-215.64, 55.14, 484.64
-216.71, 55.83, 483.60
-216.75, 57.21, 640.30
-217.92, 57.88, 560.96
-217.84, 56.51, 572.31
-219.00, 57.17, 556.31
-216.69, 54.45, 489.95
-217.77, 55.13, 482.17
-217.72, 53.76, 507.37
-218.79, 54.43, 637.75
-218.89, 55.80, 480.65
