# az(deg), al(deg), L(cd) 
-182.77, 55.59, 530.31
-183.20, 56.49, 658.48
-184.25, 55.21, 471.99
-184.70, 56.10, 761.85
-183.64, 57.38, 652.51
-184.11, 58.26, 639.54
-185.18, 56.98, 606.29
-185.68, 57.86, 569.27
-185.69, 54.81, 533.95
-186.18, 55.69, 654.26
-187.11, 54.39, 553.27
-187.62, 55.26, 582.61
-186.68, 56.57, 588.73
-187.22, 57.44, 663.51
-188.15, 56.13, 621.07
-188.72, 57.00, 583.63
-184.61, 59.15, 705.68
-185.13, 60.03, 674.55
-186.21, 58.74, 1994.62
-186.77, 59.62, 725.15
-185.69, 60.91, 630.63
-186.28, 61.79, 677.23
-187.36, 60.49, 621.59
-187.99, 61.36, 601.03
-187.78, 58.31, 671.88
-188.37, 59.18, 1550.32
-189.30, 57.87, 901.39
-189.93, 58.73, 714.95
-188.99, 60.05, 559.42
-189.66, 60.91, 563.00
-190.58, 59.59, 573.60
-191.28, 60.44, 550.10
-188.50, 53.95, 561.79
-189.03, 54.82, 599.51
-189.86, 53.50, 674.18
-190.42, 54.37, 706.21
-189.59, 55.69, 722.48
-190.18, 56.55, 672.70
-191.00, 55.23, 825.24
-191.61, 56.08, 684.01
-191.20, 53.04, 540.57
-191.77, 53.90, 681.75
-192.50, 52.57, 558.16
-193.10, 53.41, 701.78
-192.38, 54.75, 772.88
-193.01, 55.60, 716.21
-193.72, 54.26, 664.53
-194.37, 55.10, 747.54
-190.80, 57.41, 726.09
-191.45, 58.26, 668.06
-192.25, 56.93, 657.21
-192.93, 57.78, 646.08
-192.13, 59.11, 702.64
-192.86, 59.96, 672.59
-193.64, 58.62, 655.38
-194.39, 59.46, 736.54
-193.67, 56.44, 632.86
-194.37, 57.28, 630.79
-195.06, 55.94, 650.32
-195.78, 56.77, 524.93
-195.11, 58.11, 541.86
-195.88, 58.94, 541.59
-196.53, 57.59, 465.99
-197.33, 58.41, 437.76
-186.91, 62.66, 662.43
-187.58, 63.53, 644.47
-188.66, 62.22, 542.02
-189.37, 63.09, 680.85
-188.30, 64.40, 676.39
-189.07, 65.26, 563.58
-190.13, 63.94, 655.02
-190.95, 64.79, 566.53
-190.36, 61.77, 712.28
-191.11, 62.62, 753.08
-192.02, 61.29, 626.57
-192.80, 62.13, 611.55
-191.91, 63.47, 564.87
-192.77, 64.31, 615.13
-193.63, 62.97, 536.59
-194.52, 63.80, 498.65
-189.89, 66.12, 614.15
-190.78, 66.97, 554.39
-191.82, 65.64, 558.15
-192.76, 66.48, 784.71
-191.74, 67.81, 557.84
-192.79, 68.64, 535.98
-193.77, 67.31, 546.94
-194.86, 68.13, 513.58
-193.68, 65.14, 546.57
-194.66, 65.97, 670.61
-195.47, 64.62, 553.31
-196.49, 65.44, 531.05
-195.71, 66.79, 522.45
-196.84, 67.59, 573.96
-197.57, 66.24, 471.50
-198.74, 67.04, 664.76
-193.62, 60.80, 617.53
-194.44, 61.63, 551.66
-195.18, 60.29, 614.53
-196.02, 61.11, 495.69
-195.30, 62.46, 1410.98
-196.22, 63.28, 633.32
-196.91, 61.93, 646.93
-197.86, 62.73, 556.77
-196.70, 59.76, 454.55
-197.56, 60.57, 515.74
-198.17, 59.22, 487.61
-199.05, 60.03, 519.63
-198.48, 61.38, 536.88
-199.45, 62.18, 491.33
-199.99, 60.82, 493.68
-200.98, 61.61, 752.72
-197.20, 64.09, 1002.94
-198.25, 64.89, 501.50
-198.87, 63.53, 533.76
-199.94, 64.32, 508.32
-199.36, 65.68, 609.82
-200.56, 66.46, 516.82
-201.08, 65.10, 486.62
-202.30, 65.87, 493.81
-200.47, 62.97, 522.61
-201.57, 63.74, 541.21
-202.03, 62.38, 527.11
-203.14, 63.15, 580.81
-202.73, 64.51, 526.87
-203.97, 65.26, 525.55
-204.32, 63.90, 485.66
-205.57, 64.64, 588.08
-193.78, 52.08, 607.44
-194.39, 52.92, 710.66
-195.03, 51.58, 725.25
-195.66, 52.41, 845.13
-195.04, 53.76, 710.25
-195.71, 54.59, 659.96
-196.32, 53.24, 719.00
-197.01, 54.07, 649.09
-196.26, 51.07, 678.27
-196.90, 51.89, 683.17
-197.46, 50.54, 660.19
-198.12, 51.37, 752.47
-197.58, 52.72, 800.77
-198.28, 53.54, 631.60
-198.81, 52.18, 659.07
-199.52, 52.99, 664.74
-196.41, 55.42, 713.98
-197.15, 56.24, 448.34
-197.73, 54.89, 790.08
-198.48, 55.70, 572.08
-197.92, 57.06, 421.21
-198.74, 57.87, 480.39
-199.27, 56.51, 496.74
-200.11, 57.31, 498.95
-199.01, 54.35, 629.05
-199.78, 55.15, 529.15
-200.27, 53.80, 640.08
-201.06, 54.60, 607.33
-200.59, 55.95, 533.78
-201.44, 56.75, 568.47
-201.88, 55.39, 518.73
-202.73, 56.17, 484.21
-198.64, 50.01, 704.09
-199.31, 50.83, 659.93
-199.79, 49.47, 914.76
-200.47, 50.28, 681.59
-200.01, 51.64, 654.88
-200.74, 52.44, 632.39
-201.18, 51.08, 700.39
-201.92, 51.88, 579.38
-200.92, 48.92, 594.34
-201.61, 49.72, 669.05
-202.03, 48.36, 660.20
-202.73, 49.16, 588.14
-202.33, 50.52, 559.46
-203.08, 51.31, 551.80
-203.46, 49.94, 631.52
-204.22, 50.73, 546.10
-201.50, 53.24, 599.73
-202.29, 54.03, 587.71
-202.70, 52.67, 549.61
-203.50, 53.45, 506.45
-203.13, 54.81, 614.78
-204.00, 55.58, 514.74
-204.35, 54.22, 553.15
-205.23, 54.99, 591.55
-203.87, 52.09, 519.48
-204.68, 52.86, 507.49
-205.01, 51.50, 514.24
-205.84, 52.27, 527.76
-205.54, 53.63, 578.91
-206.42, 54.38, 597.03
-206.70, 53.02, 537.34
-207.59, 53.77, 516.56
-199.59, 58.67, 570.04
-200.50, 59.46, 511.74
-200.98, 58.11, 493.16
-201.90, 58.89, 492.04
-201.45, 60.25, 650.28
-202.46, 61.02, 570.22
-202.87, 59.66, 581.42
-203.89, 60.43, 565.20
-202.33, 57.53, 498.08
-203.26, 58.30, 490.17
-203.64, 56.94, 515.21
-204.58, 57.71, 646.79
-204.24, 59.07, 488.55
-205.28, 59.82, 492.62
-205.57, 58.46, 583.10
-206.62, 59.20, 528.13
-203.52, 61.79, 526.18
-204.65, 62.54, 473.25
-204.97, 61.18, 503.95
-206.11, 61.92, 510.49
-205.84, 63.28, 554.61
-207.11, 64.01, 475.64
-207.31, 62.65, 526.25
-208.58, 63.37, 512.48
-206.37, 60.56, 480.48
-207.51, 61.29, 487.65
-207.72, 59.94, 622.85
-208.87, 60.65, 495.05
-208.73, 62.01, 485.75
-210.00, 62.71, 543.60
-210.09, 61.36, 472.12
-211.37, 62.05, 471.94
-204.91, 56.35, 520.93
-205.86, 57.10, 511.71
-206.15, 55.74, 689.31
-207.11, 56.49, 498.94
-206.87, 57.85, 523.44
-207.92, 58.58, 464.66
-208.12, 57.22, 473.33
-209.18, 57.94, 586.67
-207.35, 55.13, 489.54
-208.32, 55.86, 473.50
-208.53, 54.51, 531.18
-209.50, 55.23, 474.29
-209.34, 56.59, 470.02
-210.40, 57.30, 473.77
-210.52, 55.95, 551.93
-211.59, 56.65, 482.18
-209.02, 59.30, 474.32
-210.18, 60.00, 542.23
-210.29, 58.65, 448.75
-211.45, 59.35, 472.17
-211.40, 60.70, 477.91
-212.68, 61.37, 514.68
-212.67, 60.03, 504.57
-213.95, 60.69, 419.55
-211.51, 58.00, 506.97
-212.68, 58.68, 450.77
-212.71, 57.34, 508.15
-213.87, 58.01, 445.55
-213.90, 59.35, 445.34
-215.18, 60.00, 443.93
-215.09, 58.67, 445.79
-216.36, 59.31, 418.21
-193.92, 69.47, 532.31
-195.15, 70.29, 566.60
-196.04, 68.94, 509.19
-197.32, 69.74, 501.91
-196.49, 71.09, 533.79
-197.96, 71.89, 558.54
-198.71, 70.53, 515.56
-200.22, 71.31, 516.85
