# az(deg), al(deg), L(cd) 
-200.26, 54.14, 532.21
-200.99, 54.96, 659.71
-201.51, 53.59, 474.23
-202.25, 54.40, 762.51
-201.75, 55.77, 653.68
-202.55, 56.58, 640.68
-203.03, 55.20, 607.67
-203.84, 56.00, 570.74
-202.72, 53.02, 535.82
-203.48, 53.82, 655.36
-203.91, 52.44, 554.90
-204.68, 53.24, 583.98
-204.28, 54.62, 590.13
-205.10, 55.41, 664.38
-205.48, 54.03, 622.11
-206.32, 54.81, 584.84
-203.38, 57.38, 706.42
-204.25, 58.18, 675.32
-204.69, 56.80, 1988.52
-205.58, 57.58, 725.60
-205.17, 58.97, 631.49
-206.13, 59.75, 677.77
-206.50, 58.36, 622.48
-207.47, 59.13, 601.92
-205.96, 56.20, 672.60
-206.86, 56.97, 1545.79
-207.19, 55.59, 900.44
-208.10, 56.35, 715.11
-207.79, 57.75, 560.60
-208.78, 58.51, 564.05
-209.05, 57.11, 574.57
-210.04, 57.87, 551.11
-205.07, 51.85, 563.17
-205.85, 52.64, 600.56
-206.19, 51.25, 674.39
-206.98, 52.03, 706.10
-206.66, 53.42, 722.57
-207.50, 54.20, 673.06
-207.80, 52.81, 824.14
-208.66, 53.57, 683.95
-207.29, 50.64, 541.53
-208.09, 51.42, 681.43
-208.36, 50.02, 558.62
-209.17, 50.79, 700.88
-208.92, 52.18, 771.72
-209.78, 52.94, 715.48
-210.00, 51.55, 663.96
-210.87, 52.30, 746.18
-208.38, 54.96, 725.98
-209.30, 55.72, 668.28
-209.54, 54.33, 657.29
-210.47, 55.08, 646.15
-210.26, 56.48, 702.52
-211.25, 57.22, 672.58
-211.43, 55.83, 655.29
-212.43, 56.56, 735.74
-210.67, 53.69, 632.79
-211.60, 54.43, 630.68
-211.77, 53.04, 649.82
-212.70, 53.78, 525.55
-212.57, 55.17, 542.44
-213.57, 55.89, 542.11
-213.67, 54.50, 467.12
-214.68, 55.22, 439.10
-207.13, 60.52, 662.92
-208.19, 61.29, 644.93
-208.49, 59.90, 543.11
-209.57, 60.65, 681.10
-209.31, 62.04, 676.59
-210.49, 62.79, 564.23
-210.69, 61.39, 655.30
-211.87, 62.12, 567.18
-209.81, 59.26, 712.34
-210.89, 60.00, 752.78
-211.07, 58.61, 627.00
-212.16, 59.34, 611.97
-212.02, 60.73, 565.59
-213.21, 61.45, 615.45
-213.29, 60.06, 537.39
-214.48, 60.77, 499.61
-211.73, 63.52, 614.46
-213.04, 64.23, 554.92
-213.12, 62.84, 558.74
-214.43, 63.55, 783.99
-214.42, 64.94, 558.26
-215.89, 65.62, 536.43
-215.82, 64.24, 547.43
-217.28, 64.91, 514.16
-214.45, 62.16, 547.20
-215.77, 62.85, 670.41
-215.73, 61.47, 553.82
-217.05, 62.15, 531.61
-217.15, 63.53, 523.06
-218.60, 64.19, 574.17
-218.42, 62.81, 472.37
-219.87, 63.46, 664.29
-212.30, 57.95, 617.82
-213.39, 58.67, 552.32
-213.48, 57.28, 614.59
-214.57, 57.99, 496.59
-214.52, 59.38, 1405.46
-215.72, 60.08, 633.21
