# az(deg), al(deg), L(cd) 
-186.19, 55.49, 529.24
-186.68, 56.37, 657.41
-187.63, 55.07, 471.04
-188.15, 55.94, 760.83
-187.20, 57.24, 651.51
-187.74, 58.12, 638.62
-188.69, 56.81, 605.41
-189.26, 57.68, 568.47
-189.04, 54.63, 533.12
-189.58, 55.50, 653.42
-190.42, 54.18, 552.62
-190.99, 55.04, 581.99
-190.15, 56.36, 587.99
-190.75, 57.22, 662.79
-191.58, 55.90, 620.50
-192.21, 56.75, 583.15
-188.31, 58.99, 704.81
-188.91, 59.86, 673.77
-189.87, 58.55, 1993.18
-190.50, 59.41, 724.42
-189.55, 60.73, 629.94
-190.23, 61.59, 676.61
-191.17, 60.27, 620.99
-191.88, 61.12, 600.51
-191.38, 58.08, 671.21
-192.05, 58.94, 1549.19
-192.86, 57.60, 900.74
-193.55, 58.45, 714.50
-192.75, 59.79, 558.98
-193.49, 60.63, 562.63
-194.28, 59.29, 573.31
-195.05, 60.13, 549.89
-191.77, 53.71, 561.39
-192.36, 54.57, 599.13
-193.09, 53.23, 673.87
-193.70, 54.08, 705.90
-192.98, 55.42, 722.04
-193.62, 56.26, 672.35
-194.34, 54.92, 824.85
-195.01, 55.76, 683.79
-194.38, 52.74, 540.53
-195.01, 53.58, 681.57
-195.65, 52.23, 558.17
-196.29, 53.06, 701.63
-195.67, 54.41, 772.61
-196.35, 55.25, 716.01
-196.97, 53.89, 664.44
-197.67, 54.72, 747.37
-194.30, 57.11, 725.74
-195.02, 57.94, 667.81
-195.71, 56.60, 657.05
-196.44, 57.43, 645.95
-195.77, 58.78, 702.42
-196.56, 59.60, 672.43
-197.21, 58.25, 655.25
-198.03, 59.07, 736.36
-197.07, 56.07, 632.76
-197.83, 56.90, 630.72
-198.41, 55.54, 650.28
-199.18, 56.35, 525.04
-198.62, 57.71, 541.91
-199.46, 58.52, 541.65
-199.99, 57.16, 466.18
-200.84, 57.96, 437.99
-190.95, 62.45, 661.89
-191.71, 63.30, 644.01
-192.63, 61.97, 541.61
-193.44, 62.81, 680.44
-192.53, 64.15, 675.99
-193.40, 64.99, 563.30
-194.29, 63.65, 654.70
-195.20, 64.48, 566.33
-194.27, 61.47, 711.88
-195.10, 62.30, 752.72
-195.86, 60.96, 626.37
-196.72, 61.78, 611.43
-195.99, 63.13, 564.71
-196.93, 63.95, 614.99
-197.63, 62.60, 536.59
-198.60, 63.40, 498.74
-194.33, 65.83, 613.92
-195.34, 66.65, 554.27
-196.17, 65.30, 558.01
-197.21, 66.12, 784.50
-196.41, 67.47, 557.77
-197.58, 68.28, 535.98
-198.32, 66.92, 546.94
-199.52, 67.72, 513.66
-197.93, 64.76, 546.55
-199.01, 65.57, 670.57
-199.63, 64.20, 553.39
-200.73, 64.99, 531.19
-200.15, 66.36, 522.58
-201.38, 67.14, 574.10
-201.91, 65.77, 471.74
-203.16, 66.54, 664.88
-197.40, 60.43, 617.47
-198.28, 61.24, 551.69
-198.89, 59.88, 614.49
-199.79, 60.68, 495.80
-199.22, 62.05, 1410.27
-200.21, 62.84, 633.33
-200.75, 61.48, 646.92
-201.77, 62.27, 556.86
-200.33, 59.32, 454.72
-201.26, 60.11, 515.85
-201.73, 58.75, 487.80
-202.68, 59.53, 519.80
-202.23, 60.90, 536.99
-203.27, 61.67, 491.52
-203.67, 60.31, 493.89
-204.71, 61.07, 752.62
-201.27, 63.63, 1002.65
-202.39, 64.41, 501.69
-202.84, 63.04, 533.89
-203.98, 63.81, 508.50
-203.58, 65.17, 609.93
-204.86, 65.93, 517.05
-205.20, 64.56, 486.86
-206.48, 65.30, 494.06
-204.36, 62.44, 522.79
