# az(deg), al(deg), L(cd) 
-204.23, 53.48, 515.26
-205.02, 54.28, 642.84
-205.42, 52.89, 458.17
-206.21, 53.68, 746.11
-205.84, 55.07, 637.19
-206.69, 55.85, 624.61
-207.04, 54.46, 591.96
-207.91, 55.24, 555.46
-206.57, 52.29, 520.49
-207.38, 53.07, 639.99
-207.69, 51.68, 540.42
-208.51, 52.45, 569.67
-208.22, 53.85, 575.21
-209.09, 54.62, 649.59
-209.35, 53.22, 607.95
-210.23, 53.98, 571.01
-207.58, 56.63, 690.62
-208.50, 57.40, 660.00
-208.80, 56.01, 1970.37
-209.74, 56.77, 710.69
-209.47, 58.17, 616.67
-210.49, 58.92, 663.27
-210.72, 57.53, 608.17
-211.74, 58.27, 588.03
-209.99, 55.38, 658.10
-210.94, 56.13, 1529.50
-211.15, 54.73, 886.06
-212.10, 55.48, 701.49
-211.92, 56.88, 547.01
-212.95, 57.61, 550.77
-213.09, 56.21, 561.58
-214.12, 56.94, 538.46
-208.79, 51.06, 549.61
-209.61, 51.83, 587.09
-209.85, 50.43, 661.43
-210.68, 51.19, 693.22
-210.46, 52.59, 708.96
-211.35, 53.34, 659.81
-211.54, 51.94, 811.06
-212.43, 52.69, 671.49
-210.89, 49.79, 529.92
-211.72, 50.54, 669.50
-211.90, 49.15, 547.86
-212.74, 49.89, 689.71
-212.59, 51.29, 759.64
-213.48, 52.03, 703.71
-213.61, 50.63, 653.03
-214.51, 51.36, 735.07
-212.27, 54.08, 712.80
-213.22, 54.82, 655.49
-213.35, 53.42, 645.08
-214.31, 54.15, 634.15
-214.21, 55.54, 689.86
-215.25, 56.26, 660.24
-215.31, 54.87, 643.44
-216.34, 55.57, 723.85
-214.41, 52.75, 621.42
-215.37, 53.47, 619.46
-215.43, 52.08, 639.14
-216.40, 52.79, 515.38
-216.37, 54.18, 531.63
-217.40, 54.88, 531.43
-217.39, 53.49, 457.23
-218.43, 54.18, 429.39
-211.55, 59.67, 648.87
-212.66, 60.40, 631.34
-212.81, 59.01, 529.72
-213.92, 59.73, 667.78
-213.83, 61.13, 663.35
-215.05, 61.84, 551.61
-215.09, 60.45, 642.41
-216.32, 61.15, 554.84
-214.02, 58.34, 699.04
-215.14, 59.05, 739.72
-215.19, 57.66, 614.43
-216.31, 58.36, 599.72
-216.31, 59.75, 553.28
-217.54, 60.44, 603.35
-217.48, 59.05, 525.61
-218.70, 59.73, 488.20
-216.34, 62.54, 602.13
-217.69, 63.22, 543.08
-217.60, 61.83, 546.78
-218.95, 62.51, 771.89
-219.11, 63.89, 546.80
-220.60, 64.54, 525.41
-220.36, 63.16, 536.20
-221.85, 63.80, 503.38
-218.82, 61.12, 535.58
-220.16, 61.78, 658.84
-219.98, 60.39, 542.55
-221.32, 61.04, 520.69
-221.56, 62.42, 512.15
-223.03, 63.05, 563.48
-222.71, 61.68, 461.90
-224.17, 62.29, 653.66
-216.32, 56.97, 605.84
-217.44, 57.66, 540.76
-217.42, 56.27, 603.23
-218.54, 56.95, 485.75
-218.61, 58.34, 1391.86
-219.83, 59.01, 621.90
-219.70, 57.63, 635.53
-220.91, 58.28, 546.44
-218.47, 55.56, 445.47
-219.59, 56.24, 506.05
-219.50, 54.85, 478.71
-220.61, 55.52, 510.43
-220.75, 56.90, 527.05
-221.96, 57.55, 482.15
-221.77, 56.17, 484.89
-222.97, 56.81, 740.92
-221.10, 59.66, 988.11
-222.43, 60.30, 491.71
-222.18, 58.93, 523.81
-223.49, 59.55, 498.80
-223.81, 60.92, 599.16
-225.25, 61.52, 507.29
-224.86, 60.16, 477.52
-226.29, 60.75, 484.85
