# az(deg), al(deg), L(cd) 
-208.81, 52.55, 512.66
-209.65, 53.32, 639.84
-209.91, 51.93, 455.91
-210.76, 52.69, 742.87
-210.52, 54.09, 634.21
-211.42, 54.84, 621.67
-211.64, 53.45, 589.24
-212.55, 54.19, 552.87
-210.99, 51.29, 518.15
-211.84, 52.05, 637.22
-212.03, 50.65, 538.16
-212.89, 51.39, 567.29
-212.73, 52.79, 572.69
-213.64, 53.54, 646.80
-213.78, 52.13, 605.43
-214.70, 52.87, 568.64
-212.36, 55.60, 687.48
-213.34, 56.34, 656.96
-213.49, 54.94, 1963.18
-214.48, 55.67, 707.59
-214.36, 57.07, 613.77
-215.42, 57.79, 660.24
-215.50, 56.39, 605.41
-216.56, 57.11, 585.33
-214.59, 54.27, 655.28
-215.58, 54.99, 1523.69
-215.65, 53.59, 882.52
-216.64, 54.31, 698.64
-216.60, 55.71, 544.58
-217.66, 56.41, 548.33
-217.67, 55.01, 559.24
-218.73, 55.71, 536.21
-213.06, 49.99, 547.44
-213.92, 50.73, 584.78
-214.05, 49.33, 658.92
-214.91, 50.07, 690.58
-214.81, 51.47, 706.17
-215.73, 52.19, 657.22
-215.81, 50.79, 807.95
-216.73, 51.51, 668.97
-215.02, 48.66, 528.14
-215.88, 49.39, 667.09
-215.96, 47.99, 546.14
-216.83, 48.71, 687.34
-216.78, 50.11, 756.83
-217.70, 50.82, 701.19
-217.73, 49.42, 650.86
-218.65, 50.12, 732.53
-216.68, 52.91, 710.01
-217.67, 53.61, 652.93
-217.69, 52.21, 642.68
-218.68, 52.91, 631.81
-218.70, 54.31, 687.18
-219.76, 55.00, 657.67
-219.70, 53.60, 641.08
-220.76, 54.28, 721.18
-218.66, 51.52, 619.28
-219.65, 52.21, 617.33
-219.61, 50.81, 637.07
-220.59, 51.49, 513.90
-220.67, 52.89, 529.89
-221.73, 53.55, 529.72
-221.61, 52.17, 456.01
-222.66, 52.83, 428.31
-216.53, 58.51, 645.90
-217.68, 59.21, 628.43
-217.67, 57.81, 527.22
-218.83, 58.50, 664.86
-218.89, 59.90, 660.36
-220.15, 60.57, 548.98
-220.03, 59.18, 639.58
-221.28, 59.84, 552.31
-218.77, 57.10, 696.10
-219.92, 57.79, 736.67
-219.84, 56.39, 611.92
-220.99, 57.06, 597.27
-221.12, 58.45, 550.87
-222.37, 59.11, 600.79
-222.18, 57.72, 523.44
-223.42, 58.37, 486.18
-221.47, 61.24, 599.38
-222.85, 61.88, 540.53
-222.59, 60.49, 544.30
-223.96, 61.13, 768.76
-224.28, 62.51, 544.30
-225.79, 63.12, 523.01
-225.39, 61.75, 533.83
-226.88, 62.35, 501.16
-223.67, 59.75, 533.27
-225.03, 60.37, 656.17
-224.71, 58.99, 540.37
-226.06, 59.61, 518.63
-226.44, 60.98, 509.98
-227.91, 61.57, 561.22
-227.45, 60.20, 460.07
-228.91, 60.78, 651.24
-220.86, 55.67, 603.52
-222.01, 56.33, 538.68
-221.86, 54.94, 601.06
-223.00, 55.60, 484.07
-223.20, 56.98, 1386.66
-224.43, 57.62, 619.58
-224.18, 56.24, 633.27
-225.40, 56.86, 544.55
-222.82, 54.21, 444.12
-223.95, 54.86, 504.46
-223.75, 53.47, 477.41
-224.88, 54.11, 508.98
-225.13, 55.49, 525.39
-226.34, 56.10, 480.67
-226.05, 54.73, 483.56
-227.25, 55.34, 738.49
-225.71, 58.24, 984.48
-227.04, 58.84, 489.91
-226.67, 57.47, 522.04
-227.99, 58.07, 497.14
-228.42, 59.42, 597.02
-229.86, 59.99, 505.52
-229.36, 58.64, 475.98
-230.78, 59.20, 483.31
-227.60, 56.70, 511.63
-228.91, 57.29, 530.11
-228.50, 55.93, 516.68
-229.79, 56.50, 569.68
-230.26, 57.85, 516.19
-231.66, 58.40, 515.12
-231.13, 57.06, 476.24
-232.50, 57.60, 577.23
-216.88, 47.31, 595.27
-217.75, 48.02, 696.62
-217.78, 46.62, 711.36
-218.65, 47.33, 828.96
-218.65, 48.72, 696.35
-219.57, 49.42, 647.08
-219.55, 48.02, 705.50
-220.47, 48.71, 637.09
-218.66, 45.93, 665.95
-219.53, 46.63, 670.89
-219.52, 45.23, 648.87
-220.39, 45.92, 739.17
-220.43, 47.32, 786.10
-221.35, 48.00, 620.61
-221.29, 46.60, 648.06
