# az(deg), al(deg), L(cd) 
-216.01, 50.70, 510.87
-216.91, 51.42, 637.18
-216.98, 50.02, 454.79
-217.89, 50.74, 739.70
-217.84, 52.14, 631.58
-218.81, 52.85, 619.11
-218.82, 51.45, 587.15
-219.79, 52.15, 551.01
-217.94, 49.33, 516.87
-218.84, 50.04, 635.03
-218.86, 48.64, 537.00
-219.77, 49.34, 565.90
-219.78, 50.75, 570.97
-220.74, 51.44, 644.53
-220.70, 50.04, 603.73
-221.67, 50.73, 567.23
-219.81, 53.56, 684.48
-220.84, 54.25, 654.14
-220.79, 52.84, 1951.69
-221.82, 53.53, 704.67
-221.91, 54.93, 611.22
-223.01, 55.60, 657.41
-222.88, 54.20, 603.17
-223.99, 54.87, 583.22
-221.74, 52.13, 652.95
-222.77, 52.80, 1515.17
-222.66, 51.40, 878.71
-223.69, 52.07, 696.22
-223.83, 53.47, 543.03
-224.93, 54.13, 546.75
-224.74, 52.73, 557.88
-225.84, 53.38, 535.01
-219.77, 47.94, 546.51
-220.67, 48.64, 583.53
-220.64, 47.23, 657.27
-221.55, 47.92, 688.67
-221.61, 49.32, 703.91
-222.57, 50.00, 655.36
-222.48, 48.60, 805.02
-223.44, 49.28, 667.27
-221.50, 46.52, 527.97
-222.41, 47.20, 665.60
-222.34, 45.80, 546.06
-223.24, 46.48, 685.85
-223.34, 47.88, 754.53
-224.29, 48.54, 699.41
-224.17, 47.15, 649.73
-225.12, 47.81, 730.62
-223.56, 50.67, 707.74
-224.58, 51.34, 651.12
-224.43, 49.94, 641.19
-225.45, 50.59, 630.42
-225.63, 51.99, 685.08
-226.72, 52.62, 655.82
-226.49, 51.24, 639.59
-227.57, 51.87, 719.01
-225.28, 49.20, 618.23
-226.29, 49.85, 616.28
-226.10, 48.46, 636.07
-227.11, 49.10, 514.01
-227.33, 50.48, 529.59
-228.40, 51.10, 529.37
-228.14, 49.72, 456.63
-229.21, 50.34, 429.13
-224.16, 56.26, 643.15
-225.35, 56.91, 625.80
-225.13, 55.52, 525.50
-226.31, 56.16, 662.25
-226.59, 57.55, 657.57
-227.87, 58.17, 546.88
-227.54, 56.78, 637.15
-228.80, 57.39, 550.46
-226.06, 54.77, 693.50
-227.24, 55.40, 733.81
-226.97, 54.01, 610.14
-228.13, 54.63, 595.61
-228.45, 56.01, 549.27
-229.71, 56.61, 598.88
-229.34, 55.24, 522.31
-230.58, 55.83, 485.31
-229.19, 58.77, 597.02
-230.57, 59.36, 538.57
-230.12, 57.99, 542.52
-231.48, 58.57, 765.64
-232.00, 59.93, 542.36
-233.48, 60.48, 521.28
-232.89, 59.13, 532.21
-234.35, 59.67, 499.80
-231.01, 57.20, 531.83
-232.35, 57.77, 653.95
-231.87, 56.41, 539.13
-233.20, 56.97, 517.54
-233.75, 58.32, 508.77
-235.19, 58.86, 559.70
-234.57, 57.51, 459.42
-235.99, 58.04, 649.30
-227.84, 53.25, 602.06
-229.00, 53.86, 537.70
-228.69, 52.48, 599.86
-229.83, 53.09, 483.77
-230.19, 54.46, 1379.31
-231.42, 55.05, 617.97
-231.02, 53.68, 631.77
-232.24, 54.26, 543.73
-229.51, 51.71, 444.47
-230.65, 52.31, 504.26
-230.31, 50.94, 477.73
-231.44, 51.53, 508.99
-231.82, 52.89, 524.97
-233.03, 53.46, 480.61
-232.60, 52.10, 483.73
-233.79, 52.67, 736.42
-232.69, 55.61, 980.19
-234.01, 56.17, 489.26
-233.50, 54.82, 521.38
-234.79, 55.36, 496.67
-235.36, 56.70, 595.60
-236.76, 57.21, 504.78
-236.13, 55.88, 475.66
-237.50, 56.39, 482.95
-234.27, 54.01, 511.27
-235.55, 54.55, 529.60
-235.02, 53.21, 516.51
-236.29, 53.74, 569.03
-236.87, 55.07, 515.77
-238.23, 55.57, 514.72
-237.59, 54.25, 476.38
-238.92, 54.74, 576.52
-223.15, 45.08, 594.86
-224.06, 45.75, 695.19
-223.95, 44.36, 709.81
-224.85, 45.02, 826.14
-224.98, 46.41, 694.92
-225.93, 47.07, 646.15
-225.77, 45.67, 704.08
-226.72, 46.32, 636.40
-224.74, 43.63, 664.99
-225.63, 44.28, 669.89
-225.50, 42.89, 648.13
-226.39, 43.54, 737.38
-226.55, 44.93, 783.79
-227.49, 45.57, 620.21
-227.31, 44.19, 647.38
-228.24, 44.82, 652.97
-226.90, 47.71, 698.73
-227.91, 48.34, 440.55
-227.69, 46.96, 773.24
-228.69, 47.58, 561.78
-228.94, 48.96, 414.15
-229.99, 49.57, 471.72
-229.71, 48.19, 488.65
-230.76, 48.80, 490.79
-228.45, 46.20, 617.81
-229.45, 46.82, 521.08
-229.20, 45.44, 629.23
-230.19, 46.05, 597.61
-230.46, 47.43, 525.58
-231.51, 48.02, 559.20
-231.20, 46.65, 511.95
-232.24, 47.24, 478.54
-226.25, 42.15, 690.97
-227.14, 42.80, 648.66
-226.99, 41.41, 893.63
-227.87, 42.06, 669.98
-228.05, 43.44, 643.96
-228.98, 44.07, 622.39
-228.78, 42.69, 688.27
-229.71, 43.31, 572.03
-227.71, 40.67, 586.52
-228.59, 41.31, 658.36
-228.42, 39.93, 649.85
-229.29, 40.56, 581.31
-229.49, 41.93, 553.43
-230.41, 42.55, 546.19
-230.19, 41.18, 622.99
-231.11, 41.79, 541.36
-229.94, 44.68, 590.99
-230.92, 45.29, 579.45
-230.66, 43.92, 543.43
-231.63, 44.52, 501.91
-231.92, 45.88, 605.60
-232.95, 46.46, 509.02
-232.63, 45.11, 546.91
-233.65, 45.68, 583.95
-231.36, 43.15, 515.22
-232.33, 43.75, 503.74
-232.05, 42.39, 510.91
-233.01, 42.98, 523.90
-233.32, 44.33, 572.42
-234.33, 44.90, 589.88
-234.00, 43.55, 533.16
-235.00, 44.11, 513.22
-231.08, 50.16, 558.95
-232.20, 50.75, 502.25
-231.84, 49.38, 485.17
-232.95, 49.96, 484.08
-233.35, 51.31, 637.16
-234.54, 51.87, 559.30
-234.09, 50.52, 570.98
-235.26, 51.06, 555.26
-232.58, 48.60, 490.96
-233.68, 49.17, 483.28
-233.30, 47.82, 508.54
-234.39, 48.38, 635.95
-234.81, 49.72, 481.73
-235.96, 50.26, 485.70
-235.51, 48.93, 574.29
-236.65, 49.46, 521.08
-235.75, 52.40, 516.50
-237.00, 52.92, 465.04
-236.46, 51.59, 495.79
-237.70, 52.11, 502.24
-238.28, 53.43, 544.46
-239.60, 53.91, 467.71
-238.96, 52.60, 517.71
-240.26, 53.08, 504.48
-237.15, 50.78, 473.96
-238.37, 51.29, 481.00
-237.83, 49.97, 612.94
-239.03, 50.47, 489.15
-239.62, 51.78, 479.28
-240.91, 52.25, 535.61
-240.27, 50.95, 467.01
-241.53, 51.42, 466.99
-234.00, 47.03, 514.98
-235.08, 47.59, 506.09
-234.69, 46.24, 678.25
-235.76, 46.79, 494.65
-236.19, 48.13, 517.43
-237.33, 48.65, 460.60
-236.86, 47.33, 469.93
-237.98, 47.85, 579.38
-235.37, 45.45, 486.48
-236.43, 46.00, 471.01
-236.03, 44.66, 527.29
