# az(deg), al(deg), L(cd) 
-221.37, 48.96, 510.40
-222.31, 49.66, 635.84
-222.26, 48.25, 455.01
-223.19, 48.94, 737.82
-223.27, 50.34, 630.28
-224.26, 51.02, 617.86
-224.15, 49.61, 586.36
-225.14, 50.28, 550.46
-223.12, 47.53, 516.86
-224.05, 48.21, 634.12
-223.95, 46.81, 537.05
-224.88, 47.48, 565.70
-225.01, 48.88, 570.51
-225.99, 49.54, 643.51
-225.84, 48.14, 603.21
-226.82, 48.79, 566.97
-225.28, 51.68, 682.80
-226.33, 52.34, 652.65
-226.16, 50.94, 1941.49
-227.20, 51.59, 703.02
-227.42, 52.98, 609.98
-228.54, 53.62, 655.86
-228.28, 52.23, 602.18
-229.39, 52.85, 582.34
-227.00, 50.19, 651.84
-228.04, 50.83, 1507.90
-227.83, 49.44, 876.04
-228.86, 50.07, 694.92
-229.12, 51.46, 542.65
-230.22, 52.08, 546.30
-229.93, 50.69, 557.58
-231.03, 51.30, 534.83
-224.77, 46.08, 546.65
-225.70, 46.74, 583.34
-225.57, 45.34, 656.56
-226.49, 46.00, 687.67
-226.65, 47.40, 702.71
-227.62, 48.04, 654.55
-227.44, 46.65, 803.02
-228.41, 47.29, 666.45
-226.34, 44.60, 528.55
-227.26, 45.25, 664.88
-227.10, 43.85, 546.55
-228.02, 44.50, 684.96
-228.21, 45.89, 752.99
-229.17, 46.53, 698.37
-228.96, 45.14, 649.19
-229.92, 45.76, 729.30
-228.63, 48.68, 706.48
-229.66, 49.31, 650.28
-229.41, 47.92, 640.58
-230.43, 48.54, 629.86
-230.72, 49.92, 683.96
-231.80, 50.52, 654.89
-231.48, 49.15, 638.92
-232.56, 49.74, 717.68
-230.16, 47.15, 617.90
-231.18, 47.76, 615.95
-230.90, 46.38, 635.64
-231.92, 46.99, 514.68
-232.23, 48.37, 529.97
-233.30, 48.96, 529.70
-232.95, 47.58, 457.78
-234.01, 48.17, 430.47
-229.69, 54.24, 641.69
-230.89, 54.85, 624.43
-230.54, 53.47, 524.96
-231.72, 54.07, 660.80
-232.12, 55.44, 656.00
-233.39, 56.02, 545.96
-232.94, 54.65, 635.86
-234.20, 55.23, 549.69
-231.36, 52.69, 692.02
-232.53, 53.28, 732.03
-232.15, 51.90, 609.38
-233.31, 52.49, 594.93
-233.74, 53.86, 548.71
-234.98, 54.42, 597.97
-234.51, 53.06, 522.10
-235.73, 53.62, 485.34
-234.70, 56.59, 595.80
-236.05, 57.14, 537.70
-235.49, 55.78, 541.80
-236.83, 56.32, 763.53
-237.45, 57.67, 541.48
-238.89, 58.18, 520.53
-238.20, 56.84, 531.55
-239.62, 57.35, 499.34
-236.26, 54.97, 531.33
-237.58, 55.50, 652.66
-237.00, 54.16, 538.76
-238.30, 54.68, 517.31
-238.93, 56.02, 508.40
-240.33, 56.51, 559.03
-239.64, 55.19, 459.56
-241.01, 55.68, 648.18
-232.92, 51.12, 601.50
-234.07, 51.69, 537.60
-233.67, 50.33, 599.45
-234.81, 50.90, 484.24
-235.25, 52.26, 1372.95
-236.47, 52.81, 617.21
-235.98, 51.45, 631.05
-237.18, 51.99, 543.66
-234.39, 49.53, 445.48
-235.52, 50.10, 504.71
-235.10, 48.74, 478.60
-236.22, 49.29, 509.54
-236.68, 50.65, 525.23
-237.87, 51.18, 481.19
-237.36, 49.84, 484.47
-238.54, 50.37, 735.00
-237.72, 53.34, 976.80
-239.00, 53.86, 489.39
-238.41, 52.52, 521.46
-239.68, 53.03, 496.90
-240.32, 54.36, 594.97
-241.67, 54.84, 504.79
-240.98, 53.52, 476.05
-242.31, 54.00, 483.27
-239.09, 51.70, 511.59
-240.34, 52.20, 529.75
-239.74, 50.88, 516.93
-240.98, 51.37, 569.01
-241.62, 52.69, 516.03
-242.93, 53.15, 514.98
-242.24, 51.85, 477.11
-243.53, 52.31, 576.45
-227.84, 43.11, 594.89
-228.76, 43.75, 694.18
-228.57, 42.35, 708.55
-229.48, 42.99, 823.64
-229.69, 44.38, 693.93
-230.65, 45.00, 645.65
-230.41, 43.61, 702.94
-231.36, 44.23, 635.98
-229.28, 41.60, 664.15
-230.18, 42.23, 669.02
-229.98, 40.84, 647.37
-230.88, 41.47, 735.57
-231.11, 42.85, 781.67
-232.06, 43.46, 619.94
-231.80, 42.08, 646.69
-232.74, 42.68, 652.25
-231.63, 45.61, 697.71
-232.63, 46.21, 442.02
-232.33, 44.83, 771.42
-233.33, 45.43, 562.12
-233.66, 46.80, 415.84
-234.71, 47.38, 472.81
-234.35, 46.01, 489.69
-235.39, 46.58, 491.79
-233.02, 44.06, 617.55
-234.01, 44.64, 521.87
-233.70, 43.28, 628.78
-234.68, 43.86, 597.54
-235.03, 45.22, 526.29
-236.06, 45.79, 559.56
-235.69, 44.43, 512.83
-236.72, 44.99, 479.76
-230.66, 40.08, 689.49
-231.56, 40.70, 647.80
-231.33, 39.32, 889.19
-232.22, 39.93, 668.66
-232.47, 41.31, 643.18
-233.41, 41.91, 621.91
-233.13, 40.54, 686.77
-234.06, 41.13, 572.07
-231.99, 38.55, 586.14
-232.88, 39.16, 657.01
-232.64, 37.79, 648.38
-233.52, 38.39, 580.92
-233.78, 39.76, 553.62
-234.71, 40.35, 546.50
-234.42, 38.99, 622.05
-235.34, 39.57, 541.67
-234.36, 42.50, 590.92
-235.34, 43.07, 579.51
-235.01, 41.71, 543.88
-235.98, 42.28, 502.89
-236.34, 43.64, 605.41
-237.36, 44.19, 509.93
-236.97, 42.84, 547.36
-237.98, 43.39, 584.00
-235.65, 40.93, 515.98
-236.61, 41.49, 504.69
-236.28, 40.14, 511.69
-237.24, 40.70, 524.58
-237.60, 42.05, 572.51
-238.60, 42.59, 589.84
-238.21, 41.25, 533.75
-239.21, 41.79, 514.16
-235.79, 47.94, 559.19
-236.90, 48.49, 502.99
-236.46, 47.14, 486.19
-237.56, 47.68, 485.10
-238.03, 49.03, 636.65
-239.19, 49.55, 559.49
-238.68, 48.21, 571.15
-239.83, 48.73, 555.58
-237.12, 46.34, 491.99
-238.21, 46.88, 484.37
-237.77, 45.53, 509.45
-238.84, 46.07, 635.51
-239.32, 47.40, 482.83
-240.46, 47.91, 486.76
-239.94, 46.58, 574.54
-241.07, 47.09, 521.89
-240.38, 50.05, 517.04
-241.60, 50.54, 466.04
-241.01, 49.23, 496.64
-242.21, 49.71, 503.05
-242.85, 51.01, 544.76
-244.12, 51.47, 468.69
-243.44, 50.18, 518.39
-244.70, 50.62, 505.30
-241.62, 48.40, 475.15
-242.81, 48.88, 482.14
-242.22, 47.57, 612.87
-243.39, 48.04, 490.35
-244.02, 49.34, 480.47
