# az(deg), al(deg), L(cd) 
-201.09, 54.01, 514.92
-201.83, 54.83, 642.74
-202.32, 53.45, 457.64
-203.08, 54.26, 746.12
-202.61, 55.64, 637.10
-203.42, 56.44, 624.50
-203.87, 55.06, 591.68
-204.69, 55.85, 555.14
-203.53, 52.88, 519.95
-204.30, 53.68, 639.72
-204.70, 52.29, 539.83
-205.48, 53.08, 569.15
-205.10, 54.47, 574.83
-205.93, 55.26, 649.36
-206.29, 53.87, 607.53
-207.14, 54.65, 570.54
-204.26, 57.24, 690.61
-205.14, 58.03, 659.94
-205.55, 56.64, 1972.67
-206.45, 57.43, 710.67
-206.07, 58.81, 616.56
-207.04, 59.59, 663.24
-207.39, 58.20, 607.97
-208.37, 58.97, 587.79
-206.80, 56.04, 657.89
-207.71, 56.81, 1531.01
-208.02, 55.42, 886.26
-208.94, 56.18, 701.31
-208.66, 57.57, 546.61
-209.65, 58.33, 550.39
-209.89, 56.94, 561.12
-210.89, 57.69, 537.96
-205.84, 51.70, 548.94
-206.63, 52.48, 586.52
-206.96, 51.09, 660.93
-207.76, 51.87, 692.81
-207.46, 53.26, 708.68
-208.31, 54.03, 659.42
-208.59, 52.64, 810.96
-209.45, 53.40, 671.05
-208.04, 50.48, 528.99
-208.85, 51.24, 668.94
-209.10, 49.85, 546.86
-209.91, 50.61, 689.13
-209.69, 52.01, 759.32
-210.55, 52.76, 703.27
-210.76, 51.37, 652.35
-211.63, 52.11, 734.62
-209.20, 54.79, 712.56
-210.12, 55.55, 655.12
-210.34, 54.15, 644.58
-211.27, 54.90, 633.64
-211.09, 56.29, 689.58
-212.09, 57.03, 659.89
-212.24, 55.64, 642.96
-213.25, 56.36, 723.56
-211.46, 53.51, 620.77
-212.39, 54.24, 618.81
-212.54, 52.85, 638.44
-213.48, 53.58, 514.35
-213.36, 54.97, 530.76
-214.38, 55.69, 530.58
-214.45, 54.30, 456.04
-215.47, 55.01, 428.14
-208.06, 60.36, 648.81
-209.13, 61.12, 631.24
-209.40, 59.72, 529.39
-210.48, 60.47, 667.69
-210.26, 61.86, 663.30
-211.45, 62.60, 551.37
-211.62, 61.21, 642.27
-212.81, 61.93, 554.53
-210.69, 59.08, 698.94
-211.78, 59.81, 739.70
-211.94, 58.42, 614.09
-213.03, 59.15, 599.35
-212.92, 60.54, 552.91
-214.12, 61.25, 603.06
-214.18, 59.86, 525.09
-215.37, 60.56, 487.60
-212.70, 63.33, 601.95
-214.02, 64.04, 542.79
-214.07, 62.64, 546.45
-215.39, 63.34, 771.94
-215.41, 64.73, 546.50
-216.89, 65.41, 525.04
-216.78, 64.03, 535.81
-218.25, 64.69, 502.91
-215.38, 61.95, 535.15
-216.70, 62.64, 658.63
-216.63, 61.25, 542.06
-217.95, 61.93, 520.13
-218.08, 63.31, 511.65
-219.54, 63.96, 563.05
-219.33, 62.58, 461.21
-220.78, 63.23, 653.32
-213.14, 57.76, 605.40
-214.24, 58.47, 540.17
-214.31, 57.08, 602.66
-215.40, 57.79, 484.93
-215.38, 59.18, 1393.10
-216.58, 59.87, 621.49
-216.55, 58.48, 635.04
-217.75, 59.16, 545.75
-215.43, 56.40, 444.41
-216.53, 57.09, 505.14
-216.52, 55.71, 477.60
-217.62, 56.39, 509.40
-217.68, 57.78, 526.20
-218.87, 58.45, 481.18
-218.76, 57.07, 483.79
-219.95, 57.73, 740.47
-217.84, 60.54, 988.45
-219.15, 61.21, 490.99
-219.00, 59.83, 523.06
-220.30, 60.48, 497.98
-220.52, 61.85, 598.65
-221.96, 62.48, 506.56
-221.67, 61.11, 476.63
-223.09, 61.73, 483.95
-220.11, 59.10, 512.31
-221.41, 59.74, 530.88
-221.19, 58.37, 517.14
-222.48, 59.00, 570.46
-222.77, 60.37, 516.84
-224.18, 60.97, 515.71
-223.82, 59.61, 476.39
-225.22, 60.21, 578.02
-210.14, 49.22, 596.10
-210.95, 49.97, 698.27
-211.15, 48.58, 712.95
-211.97, 49.33, 831.53
-211.80, 50.72, 697.96
-212.68, 51.46, 648.28
-212.82, 50.07, 706.96
-213.70, 50.80, 637.94
-212.13, 47.93, 666.90
-212.96, 48.67, 671.85
-213.10, 47.28, 649.44
-213.93, 48.01, 740.58
-213.81, 49.41, 788.07
-214.70, 50.13, 621.06
-214.78, 48.74, 648.55
-215.67, 49.45, 654.24
-213.59, 52.19, 701.79
-214.53, 52.91, 439.02
-214.61, 51.52, 777.40
-215.55, 52.23, 561.93
-215.51, 53.62, 412.24
-216.52, 54.32, 470.87
-216.53, 52.93, 487.49
-217.55, 53.63, 489.74
-215.61, 50.84, 618.62
-216.55, 51.55, 520.01
-216.58, 50.16, 629.97
-217.53, 50.86, 597.72
-217.53, 52.24, 524.64
-218.55, 52.93, 558.99
-218.50, 51.54, 510.34
-219.52, 52.22, 476.32
-214.04, 46.62, 693.12
-214.87, 47.35, 649.72
-214.96, 45.96, 900.87
-215.80, 46.68, 671.48
-215.73, 48.07, 644.84
-216.61, 48.77, 622.77
-216.65, 47.39, 690.13
-217.54, 48.09, 571.04
-215.87, 45.29, 585.92
-216.70, 46.00, 659.54
