# az(deg), al(deg), L(cd) 
-213.19, 51.48, 513.50
-214.07, 52.23, 640.17
-214.22, 50.82, 457.15
-215.11, 51.56, 742.93
-214.98, 52.96, 634.54
-215.93, 53.69, 622.03
-216.02, 52.29, 589.89
-216.97, 53.01, 553.63
-215.22, 50.16, 519.30
-216.11, 50.89, 637.85
-216.19, 49.48, 539.39
-217.09, 50.20, 568.37
-217.03, 51.61, 573.57
-217.97, 52.32, 647.34
-218.00, 50.92, 606.32
-218.95, 51.62, 569.69
-216.91, 54.41, 687.57
-217.92, 55.13, 657.14
-217.95, 53.72, 1958.46
-218.96, 54.43, 707.73
-218.98, 55.83, 614.10
-220.07, 56.52, 660.39
-220.02, 55.12, 605.91
-221.11, 55.80, 585.90
-218.96, 53.02, 655.77
-219.97, 53.72, 1520.66
-219.93, 52.32, 882.19
-220.95, 53.00, 699.09
-221.02, 54.40, 545.50
-222.11, 55.08, 549.22
-221.99, 53.68, 560.29
-223.08, 54.35, 537.34
-217.14, 48.80, 548.82
-218.03, 49.51, 585.96
-218.07, 48.11, 659.91
-218.96, 48.82, 691.42
-218.95, 50.22, 706.76
-219.90, 50.92, 658.04
-219.88, 49.52, 808.20
-220.82, 50.21, 669.90
-218.97, 47.41, 530.02
-219.86, 48.11, 668.20
-219.84, 46.71, 548.13
-220.74, 47.41, 688.50
-220.78, 48.81, 757.48
-221.72, 49.49, 702.12
-221.65, 48.09, 652.21
-222.60, 48.77, 733.42
-220.88, 51.61, 710.59
-221.89, 52.28, 653.75
-221.80, 50.89, 643.73
-222.81, 51.56, 632.91
-222.94, 52.95, 687.83
-224.02, 53.61, 658.47
-223.85, 52.22, 642.11
-224.93, 52.87, 721.81
-222.70, 50.16, 620.61
-223.70, 50.83, 618.66
-223.57, 49.43, 638.48
-224.57, 50.09, 515.92
-224.74, 51.48, 531.65
-225.81, 52.12, 531.43
-225.60, 50.73, 458.32
-226.67, 51.37, 430.73
-221.20, 57.20, 646.08
-222.39, 57.87, 628.67
-222.24, 56.48, 528.00
-223.42, 57.13, 665.12
-223.62, 58.53, 660.50
-224.89, 59.17, 549.50
-224.64, 57.78, 639.94
-225.91, 58.41, 553.00
-223.24, 55.74, 696.41
-224.41, 56.39, 736.82
-224.20, 55.00, 612.71
-225.37, 55.64, 598.14
-225.62, 57.03, 551.73
-226.88, 57.65, 601.48
-226.57, 56.27, 524.60
-227.82, 56.88, 487.49
-226.22, 59.80, 599.75
-227.61, 60.41, 541.13
-227.22, 59.03, 545.02
-228.59, 59.63, 768.72
-229.04, 61.00, 544.89
-230.54, 61.57, 523.73
-230.01, 60.21, 534.64
-231.49, 60.78, 502.13
-228.18, 58.26, 534.22
-229.54, 58.85, 656.67
-229.11, 57.48, 541.47
-230.45, 58.06, 519.81
-230.94, 59.42, 511.07
-232.40, 59.97, 562.12
-231.83, 58.62, 461.50
-233.27, 59.17, 651.93
-225.14, 54.25, 604.53
-226.29, 54.89, 539.96
-226.04, 53.50, 602.25
-227.19, 54.13, 485.76
-227.49, 55.50, 1384.29
-228.72, 56.11, 620.49
-228.37, 54.74, 634.27
-229.60, 55.33, 545.94
-226.91, 52.75, 446.23
-228.05, 53.36, 506.24
-227.76, 51.99, 479.52
-228.89, 52.59, 510.91
-229.23, 53.96, 527.03
-230.44, 54.55, 482.52
-230.06, 53.19, 485.57
-231.26, 53.76, 739.20
-230.00, 56.70, 983.85
-231.33, 57.27, 491.37
-230.86, 55.91, 523.50
-232.17, 56.47, 498.72
-232.69, 57.82, 598.03
-234.11, 58.36, 506.92
-233.52, 57.02, 477.63
-234.92, 57.54, 484.94
-231.70, 55.12, 513.30
-232.99, 55.67, 531.68
-232.50, 54.33, 518.49
-233.78, 54.87, 571.19
-234.32, 56.21, 517.81
-235.70, 56.73, 516.74
-235.09, 55.40, 478.21
-236.45, 55.91, 578.69
-220.70, 46.01, 597.10
-221.59, 46.69, 697.86
-221.54, 45.30, 712.58
-222.43, 45.98, 829.44
-222.51, 47.37, 697.57
-223.45, 48.04, 648.57
-223.34, 46.65, 706.77
-224.28, 47.31, 638.76
-222.36, 44.58, 667.56
-223.25, 45.25, 672.46
-223.16, 43.86, 650.64
-224.05, 44.53, 740.33
-224.16, 45.92, 786.90
-225.09, 46.57, 622.50
-224.95, 45.19, 649.83
-225.89, 45.83, 655.43
-224.42, 48.70, 701.37
-225.42, 49.35, 442.09
-225.25, 47.96, 776.21
-226.24, 48.60, 563.79
-226.44, 49.98, 415.59
-227.50, 50.61, 473.41
-227.26, 49.23, 490.34
-228.31, 49.85, 492.50
-226.05, 47.22, 620.07
-227.04, 47.85, 522.88
-226.84, 46.47, 631.55
-227.83, 47.10, 599.77
-228.06, 48.48, 527.40
-229.10, 49.09, 561.18
-228.84, 47.72, 513.69
-229.87, 48.32, 480.12
-223.95, 43.14, 693.76
-224.83, 43.80, 651.19
-224.72, 42.41, 897.73
-225.60, 43.06, 672.69
-225.73, 44.45, 646.43
-226.66, 45.09, 624.72
-226.50, 43.71, 691.05
-227.42, 44.35, 574.12
-225.47, 41.68, 588.83
-226.35, 42.33, 661.08
-226.21, 40.94, 652.67
-227.09, 41.59, 583.63
-227.25, 42.97, 555.48
-228.17, 43.60, 548.18
-227.98, 42.22, 625.55
-228.90, 42.85, 543.37
-227.62, 45.72, 593.14
-228.59, 46.34, 581.52
-228.37, 44.97, 545.35
-229.34, 45.59, 503.59
-229.60, 46.95, 607.81
-230.63, 47.55, 510.72
-230.34, 46.19, 548.83
-231.36, 46.78, 586.05
-229.11, 44.22, 517.02
-230.08, 44.83, 505.45
-229.84, 43.46, 512.72
-230.80, 44.07, 525.78
-231.07, 45.42, 574.51
-232.08, 46.01, 592.05
-231.78, 44.66, 535.06
-232.79, 45.23, 515.00
-228.59, 51.22, 561.01
-229.71, 51.82, 504.08
-229.39, 50.45, 486.87
-230.51, 51.05, 485.78
-230.87, 52.41, 639.54
-232.06, 52.98, 561.36
-231.65, 51.62, 573.05
-232.83, 52.19, 557.27
-230.18, 49.68, 492.63
-231.28, 50.27, 484.92
-230.94, 48.91, 510.26
-232.03, 49.49, 638.27
-232.41, 50.84, 483.37
-233.58, 51.39, 487.36
-233.16, 50.05, 576.31
-234.31, 50.60, 522.86
-233.28, 53.53, 518.41
-234.55, 54.07, 466.75
-234.04, 52.73, 497.55
-235.29, 53.26, 504.03
-235.84, 54.59, 546.47
-237.18, 55.09, 469.42
-236.57, 53.77, 519.55
-237.89, 54.27, 506.26
-234.78, 51.93, 475.57
-236.01, 52.45, 482.64
-235.50, 51.13, 615.12
-236.72, 51.64, 490.77
-237.28, 52.96, 480.89
-238.58, 53.44, 537.46
-237.97, 52.14, 468.53
-239.25, 52.62, 468.48
-231.68, 48.14, 516.72
-232.77, 48.71, 507.77
-232.41, 47.36, 680.84
-233.49, 47.92, 496.26
-233.88, 49.26, 519.17
-235.03, 49.80, 462.06
-234.60, 48.47, 471.42
-235.73, 49.00, 581.40
-233.13, 46.58, 488.07
-234.19, 47.14, 472.51
-233.83, 45.80, 529.11
-234.88, 46.35, 474.14
-235.29, 47.68, 469.13
-236.41, 48.21, 472.76
-235.97, 46.88, 549.18
-237.08, 47.41, 481.75
-236.20, 50.33, 471.47
-237.41, 50.83, 537.55
-236.89, 49.52, 447.59
-238.08, 50.02, 470.34
-238.64, 51.32, 475.09
-239.91, 51.80, 510.96
