# az(deg), al(deg), L(cd) 
-192.93, 55.03, 523.51
-193.55, 55.88, 651.65
-194.29, 54.54, 465.84
-194.93, 55.39, 755.27
-194.19, 56.73, 645.91
-194.87, 57.58, 633.19
-195.59, 56.23, 600.22
-196.29, 57.07, 563.47
-195.62, 54.04, 528.17
-196.27, 54.88, 648.34
-196.91, 53.52, 547.94
-197.58, 54.36, 577.33
-196.96, 55.71, 583.14
-197.68, 56.54, 657.90
-198.29, 55.18, 615.82
-199.03, 56.01, 578.61
-195.58, 58.42, 699.43
-196.32, 59.26, 668.58
-197.02, 57.90, 1985.88
-197.79, 58.73, 719.40
-197.11, 60.09, 624.96
-197.93, 60.92, 671.70
-198.60, 59.55, 616.28
-199.45, 60.37, 595.96
-198.43, 57.37, 666.41
-199.22, 58.19, 1542.78
-199.79, 56.82, 895.59
-200.60, 57.63, 709.83
-200.05, 59.00, 554.58
-200.92, 59.81, 558.32
-201.45, 58.44, 569.02
-202.34, 59.24, 545.72
-198.17, 52.99, 556.87
-198.86, 53.82, 594.58
-199.41, 52.45, 669.23
-200.11, 53.27, 701.22
-199.59, 54.64, 717.26
-200.34, 55.45, 667.74
-200.85, 54.08, 819.89
-201.61, 54.89, 679.25
-200.61, 51.90, 536.41
-201.33, 52.71, 677.07
-201.79, 51.34, 554.18
-202.52, 52.14, 697.21
-202.08, 53.52, 767.89
-202.86, 54.32, 711.49
-203.28, 52.94, 660.17
-204.07, 53.73, 742.87
-201.12, 56.26, 721.06
-201.95, 57.07, 663.32
-202.42, 55.69, 652.63
-203.25, 56.49, 641.60
-202.81, 57.86, 697.89
-203.72, 58.65, 668.03
-204.13, 57.27, 650.92
-205.05, 58.05, 731.85
-203.67, 55.11, 628.52
-204.52, 55.89, 626.51
-204.90, 54.52, 646.11
-205.76, 55.29, 521.30
-205.41, 56.67, 537.99
-206.34, 57.44, 537.77
-206.66, 56.06, 462.64
-207.59, 56.82, 434.57
-198.81, 61.74, 657.15
-199.73, 62.55, 639.44
-200.35, 61.18, 537.28
-201.30, 61.98, 675.98
-200.72, 63.36, 671.51
