# az(deg), al(deg), L(cd) 
-196.24, 54.68, 519.63
-196.91, 55.52, 647.68
-197.55, 54.16, 462.09
-198.24, 54.99, 751.20
-197.61, 56.35, 641.98
-198.34, 57.18, 629.31
-198.96, 55.82, 596.39
-199.71, 56.64, 559.73
-198.83, 53.63, 524.44
-199.53, 54.45, 644.48
-200.07, 53.08, 544.23
-200.80, 53.90, 573.61
-200.27, 55.27, 579.39
-201.04, 56.08, 654.08
-201.55, 54.71, 612.08
-202.33, 55.52, 574.97
-199.11, 58.01, 695.53
-199.92, 58.83, 664.76
-200.50, 57.46, 1980.45
-201.32, 58.27, 715.54
-200.77, 59.64, 621.24
-201.66, 60.45, 667.98
-202.19, 59.07, 612.58
-203.10, 59.87, 592.32
-201.84, 56.89, 662.61
-202.68, 57.69, 1537.85
-203.15, 56.32, 891.50
-204.01, 57.11, 706.03
-203.57, 58.49, 551.00
-204.49, 59.28, 554.76
-204.90, 57.89, 565.45
-205.84, 58.67, 542.21
-201.29, 52.53, 553.25
-202.02, 53.34, 590.92
-202.48, 51.96, 665.47
-203.22, 52.76, 697.43
-202.79, 54.14, 713.41
-203.59, 54.94, 664.00
-204.00, 53.56, 815.93
-204.81, 54.35, 675.55
-203.64, 51.38, 532.98
-204.39, 52.17, 673.39
-204.76, 50.79, 550.79
-205.53, 51.58, 693.55
-205.18, 52.96, 764.05
-206.00, 53.74, 707.79
-206.33, 52.36, 656.61
-207.16, 53.13, 739.15
-204.42, 55.73, 717.26
-205.29, 56.51, 659.64
-205.65, 55.13, 648.99
-206.53, 55.90, 637.99
-206.20, 57.29, 694.18
-207.15, 58.06, 664.38
-207.45, 56.67, 647.33
-208.41, 57.43, 728.15
-206.85, 54.52, 625.00
-207.74, 55.28, 623.01
-208.02, 53.90, 642.61
-208.91, 54.66, 518.06
-208.67, 56.04, 534.66
-209.64, 56.79, 534.46
-209.85, 55.41, 459.54
-210.82, 56.14, 431.53
-202.60, 61.25, 653.48
-203.59, 62.04, 635.83
-204.06, 60.66, 533.76
-205.07, 61.44, 672.33
-204.64, 62.82, 667.91
-205.75, 63.59, 555.70
-206.13, 62.21, 646.81
-207.26, 62.97, 558.84
-205.47, 60.06, 703.64
-206.49, 60.83, 744.47
-206.83, 59.44, 618.51
-207.87, 60.20, 603.71
-207.57, 61.59, 557.20
-208.71, 62.34, 607.43
-208.96, 60.95, 529.23
-210.10, 61.69, 491.61
-206.93, 64.36, 606.34
-208.18, 65.11, 547.00
-208.45, 63.72, 550.69
-209.71, 64.46, 776.63
-209.50, 65.85, 550.66
-210.91, 66.57, 529.09
-211.04, 65.19, 539.93
-212.46, 65.89, 506.89
-209.91, 63.07, 539.32
-211.18, 63.80, 663.04
-211.31, 62.41, 546.17
-212.58, 63.13, 524.14
-212.52, 64.51, 515.66
-213.94, 65.21, 567.12
-213.92, 63.82, 465.01
-215.34, 64.51, 657.56
-208.15, 58.82, 609.71
-209.19, 59.56, 544.28
-209.42, 58.18, 606.87
-210.47, 58.92, 488.75
-210.29, 60.30, 1399.54
-211.44, 61.03, 625.75
