# az(deg), al(deg), L(cd) 
-181.06, 55.62, 533.21
-181.45, 56.51, 661.33
-182.55, 55.25, 474.87
-182.97, 56.14, 764.72
-181.86, 57.41, 655.31
-182.29, 58.30, 642.29
-183.41, 57.03, 609.08
-183.88, 57.92, 572.00
-184.01, 54.87, 536.79
-184.46, 55.75, 657.08
-185.45, 54.46, 556.06
-185.93, 55.34, 585.36
-184.94, 56.64, 591.49
-185.43, 57.52, 666.24
-186.43, 56.22, 623.79
-186.96, 57.10, 586.29
-182.75, 59.19, 708.39
-183.23, 60.08, 677.20
-184.37, 58.80, 1997.53
-184.89, 59.69, 727.80
-183.75, 60.97, 633.21
-184.29, 61.85, 679.78
-185.44, 60.57, 624.18
-186.03, 61.44, 603.56
-185.96, 58.40, 674.55
-186.51, 59.27, 1553.14
-187.51, 57.97, 904.07
-188.10, 58.84, 717.54
-187.10, 60.14, 561.97
-187.72, 61.01, 565.49
-188.72, 59.70, 576.09
-189.37, 60.57, 552.53
-186.86, 54.05, 564.50
-187.36, 54.92, 602.19
-188.23, 53.61, 676.83
-188.76, 54.48, 708.82
-187.89, 55.79, 725.15
-188.44, 56.66, 675.30
-189.31, 55.35, 827.85
-189.89, 56.21, 686.53
-189.59, 53.17, 543.06
-190.14, 54.03, 684.25
-190.91, 52.71, 560.58
-191.48, 53.56, 704.25
-190.71, 54.89, 775.38
-191.32, 55.74, 718.65
-192.08, 54.41, 666.96
-192.70, 55.26, 749.99
-189.03, 57.53, 728.66
-189.64, 58.39, 670.57
-190.51, 57.07, 659.67
-191.15, 57.92, 648.48
-190.29, 59.25, 705.11
-190.98, 60.10, 674.99
-191.83, 58.77, 657.74
-192.54, 59.62, 738.89
-191.95, 56.59, 635.24
-192.62, 57.44, 633.14
-193.36, 56.11, 652.69
-194.05, 56.95, 527.21
-193.32, 58.28, 544.15
-194.06, 59.12, 543.84
-194.78, 57.78, 468.22
-195.54, 58.61, 439.94
-184.87, 62.73, 664.91
-185.49, 63.61, 646.90
-186.65, 62.32, 544.48
-187.32, 63.19, 683.29
-186.16, 64.49, 678.78
-186.87, 65.36, 565.90
-188.03, 64.05, 657.40
-188.79, 64.91, 568.84
-188.39, 61.88, 714.75
-189.09, 62.74, 755.52
-190.07, 61.42, 628.98
-190.81, 62.27, 613.91
-189.85, 63.60, 567.21
-190.65, 64.45, 617.43
-191.60, 63.12, 538.87
-192.45, 63.96, 500.87
-187.64, 66.22, 616.43
-188.47, 67.08, 556.63
-189.61, 65.77, 560.41
-190.49, 66.62, 786.99
-189.37, 67.94, 560.03
-190.34, 68.78, 538.13
-191.44, 67.46, 549.12
-192.47, 68.29, 515.71
-191.51, 65.29, 548.80
-192.44, 66.13, 672.84
-193.35, 64.79, 555.50
-194.32, 65.62, 533.19
-193.44, 66.96, 524.59
-194.52, 67.78, 576.08
-195.36, 66.44, 473.59
-196.47, 67.25, 666.87
-191.71, 60.95, 619.87
-192.48, 61.79, 553.93
-193.30, 60.46, 616.80
-194.10, 61.29, 497.88
-193.31, 62.63, 1413.51
-194.19, 63.46, 635.53
-194.96, 62.12, 649.15
-195.87, 62.94, 558.92
-194.85, 59.95, 456.73
-195.68, 60.77, 517.92
-196.35, 59.43, 489.80
-197.20, 60.24, 521.81
-196.56, 61.59, 539.05
-197.49, 62.40, 493.46
-198.11, 61.05, 495.82
-199.07, 61.85, 754.97
-195.12, 64.28, 1005.24
-196.13, 65.09, 503.58
-196.84, 63.75, 535.88
-197.87, 64.55, 510.40
-197.20, 65.90, 611.90
-198.35, 66.69, 518.85
-198.97, 65.34, 488.68
-200.15, 66.12, 495.84
-198.49, 63.20, 524.73
-199.55, 63.99, 543.31
-200.08, 62.63, 529.23
-201.16, 63.41, 582.94
-200.67, 64.77, 528.94
-201.88, 65.53, 527.60
-202.31, 64.18, 487.72
-203.53, 64.93, 590.16
-192.21, 52.23, 609.87
-192.80, 53.08, 713.11
-193.48, 51.75, 727.70
-194.09, 52.59, 847.64
-193.42, 53.93, 712.68
-194.06, 54.77, 662.33
-194.72, 53.43, 721.42
-195.39, 54.26, 651.44
-194.73, 51.25, 680.68
-195.35, 52.09, 685.56
-195.95, 50.74, 662.54
-196.59, 51.57, 754.88
