# az(deg), al(deg), L(cd) 
-197.02, 54.58, 535.48
-197.71, 55.42, 663.09
-198.32, 54.06, 477.51
-199.02, 54.88, 766.17
-198.42, 56.25, 656.97
-199.17, 57.07, 643.87
-199.76, 55.71, 611.01
-200.52, 56.53, 573.95
-199.59, 53.52, 539.28
-200.31, 54.34, 658.94
-200.82, 52.97, 558.40
-201.56, 53.78, 587.47
-201.05, 55.15, 593.51
-201.83, 55.96, 667.80
-202.32, 54.59, 625.60
-203.11, 55.39, 588.16
-199.95, 57.90, 709.61
-200.77, 58.71, 678.39
-201.32, 57.34, 1993.79
-202.16, 58.14, 728.86
-201.63, 59.52, 634.42
-202.53, 60.32, 680.67
-203.04, 58.94, 625.49
-203.96, 59.74, 604.81
-202.65, 56.77, 675.94
-203.50, 57.56, 1550.48
-203.94, 56.18, 904.22
-204.81, 56.97, 718.47
-204.40, 58.35, 563.58
-205.34, 59.14, 566.93
-205.72, 57.75, 577.59
-206.67, 58.53, 554.00
-202.03, 52.40, 566.68
-202.77, 53.21, 604.06
-203.20, 51.83, 678.06
-203.96, 52.63, 709.77
-203.55, 54.01, 726.21
-204.36, 54.80, 676.53
-204.75, 53.42, 827.97
-205.56, 54.20, 687.39
-204.35, 51.25, 544.81
-205.12, 52.04, 684.94
-205.47, 50.65, 561.80
-206.24, 51.43, 704.31
-205.91, 52.82, 775.36
-206.74, 53.60, 718.90
-207.05, 52.21, 667.21
-207.89, 52.98, 749.53
-205.20, 55.59, 729.46
-206.08, 56.37, 671.55
-206.42, 54.98, 660.57
-207.31, 55.75, 649.32
-207.00, 57.14, 705.75
-207.96, 57.90, 675.66
-208.23, 56.51, 658.38
-209.20, 57.27, 738.90
-207.60, 54.37, 635.93
-208.50, 55.13, 633.72
-208.75, 53.74, 652.87
-209.66, 54.49, 528.21
-209.44, 55.88, 545.19
-210.41, 56.62, 544.77
-210.60, 55.24, 469.54
-211.58, 55.97, 441.37
-203.49, 61.12, 665.71
-204.50, 61.90, 647.61
-204.93, 60.52, 545.82
-205.95, 61.30, 683.93
-205.56, 62.68, 679.24
-206.68, 63.45, 566.65
-207.03, 62.06, 658.00
-208.17, 62.82, 569.66
-206.32, 59.91, 715.36
-207.36, 60.68, 755.79
-207.67, 59.29, 629.91
-208.71, 60.04, 614.76
-208.45, 61.43, 568.20
-209.60, 62.17, 618.04
-209.81, 60.79, 539.97
-210.97, 61.52, 502.03
-207.87, 64.21, 616.87
-209.14, 64.95, 557.17
-209.37, 63.56, 561.14
-210.64, 64.29, 786.64
-210.48, 65.68, 560.47
-211.90, 66.40, 538.54
-211.99, 65.01, 549.66
-213.42, 65.71, 516.29
-210.81, 62.91, 549.60
-212.09, 63.62, 672.95
-212.18, 62.24, 556.24
-213.47, 62.95, 533.91
-213.44, 64.33, 525.28
-214.86, 65.02, 576.40
-214.82, 63.64, 474.50
-216.24, 64.31, 666.66
-208.96, 58.66, 620.70
-210.02, 59.40, 554.98
-210.22, 58.01, 617.40
-211.28, 58.75, 499.08
-211.12, 60.13, 1409.59
-212.29, 60.85, 635.83
-212.39, 59.47, 649.29
-213.56, 60.18, 559.48
-211.43, 57.36, 458.13
-212.50, 58.08, 518.78
-212.61, 56.70, 490.78
-213.68, 57.41, 522.48
-213.61, 58.79, 539.66
-214.78, 59.49, 494.28
-214.79, 58.11, 496.59
-215.96, 58.80, 753.80
-213.51, 61.56, 1003.33
-214.79, 62.26, 504.38
-214.78, 60.87, 536.45
-216.06, 61.56, 511.02
-216.14, 62.93, 611.96
-217.56, 63.60, 519.32
-217.40, 62.22, 489.32
-218.81, 62.87, 496.35
-216.00, 60.18, 525.24
-217.28, 60.85, 543.61
-217.18, 59.47, 529.63
-218.45, 60.13, 582.88
-218.62, 61.50, 529.26
-220.02, 62.14, 527.85
-219.78, 60.78, 488.31
-221.17, 61.40, 589.97
-206.56, 50.05, 610.26
-207.34, 50.82, 712.62
-207.63, 49.44, 726.67
-208.42, 50.20, 845.52
-208.16, 51.59, 712.14
-209.00, 52.35, 662.13
-209.24, 50.97, 720.38
-210.09, 51.72, 651.00
-208.67, 48.82, 679.69
-209.47, 49.58, 684.53
-209.69, 48.19, 661.43
-210.49, 48.94, 752.84
-210.29, 50.33, 801.08
-211.14, 51.08, 633.36
-211.32, 49.69, 660.34
-212.18, 50.43, 665.96
-209.87, 53.11, 715.65
-210.79, 53.85, 451.90
-210.97, 52.46, 790.81
-211.88, 53.20, 574.49
-211.73, 54.59, 424.88
-212.72, 55.31, 483.55
-212.83, 53.93, 499.69
-213.82, 54.64, 501.85
-212.03, 51.81, 630.82
-212.95, 52.54, 531.76
-213.06, 51.16, 641.51
-213.99, 51.88, 609.05
-213.90, 53.26, 536.32
-214.89, 53.97, 570.68
-214.94, 52.59, 521.26
-215.93, 53.29, 487.03
-210.69, 47.56, 704.57
-211.49, 48.30, 660.88
-211.66, 46.92, 912.53
-212.47, 47.66, 681.98
-212.32, 49.04, 655.88
-213.18, 49.77, 633.62
-213.30, 48.39, 700.61
-214.17, 49.11, 580.90
-212.62, 46.27, 595.36
-213.43, 47.00, 669.22
-213.55, 45.62, 660.07
-214.37, 46.35, 588.97
-214.27, 47.73, 560.93
-215.13, 48.45, 553.37
-215.21, 47.06, 631.84
-216.07, 47.77, 547.49
-214.07, 50.49, 601.31
-215.00, 51.21, 589.40
-215.06, 49.83, 551.46
-215.98, 50.53, 508.76
-215.95, 51.91, 616.21
-216.95, 52.60, 517.13
-216.94, 51.22, 554.98
-217.93, 51.91, 592.99
-216.02, 49.15, 521.43
-216.95, 49.85, 509.59
-216.97, 48.47, 516.03
-217.89, 49.16, 529.40
-217.91, 50.53, 580.23
-218.89, 51.21, 598.16
-218.85, 49.84, 538.90
-219.83, 50.51, 518.37
-213.75, 56.03, 572.45
-214.82, 56.73, 514.51
-214.85, 55.35, 496.06
-215.92, 56.04, 494.91
-215.93, 57.42, 651.99
-217.10, 58.10, 572.46
-217.04, 56.72, 583.55
-218.20, 57.39, 567.42
-215.92, 54.67, 500.86
-216.99, 55.35, 492.99
-216.96, 53.97, 517.73
-218.03, 54.65, 648.12
-218.10, 56.02, 491.35
-219.26, 56.68, 495.36
-219.14, 55.31, 584.98
-220.29, 55.96, 530.47
-218.31, 58.76, 528.68
-219.58, 59.41, 476.07
-219.41, 58.05, 506.59
-220.67, 58.68, 513.05
-220.90, 60.04, 556.79
-222.28, 60.66, 478.35
-221.98, 59.30, 528.64
-223.35, 59.91, 514.91
-220.47, 57.32, 483.28
-221.72, 57.95, 490.35
-221.49, 56.59, 624.34
-222.74, 57.21, 497.63
-223.03, 58.56, 488.44
-224.38, 59.15, 545.75
-224.03, 57.81, 474.86
-225.38, 58.39, 474.64
-217.97, 53.28, 523.26
-219.04, 53.94, 514.12
-218.96, 52.58, 689.75
-220.02, 53.23, 501.32
-220.15, 54.60, 525.73
-221.30, 55.24, 467.48
-221.13, 53.88, 475.95
-222.27, 54.51, 588.16
-219.92, 51.87, 491.85
-220.98, 52.52, 475.98
-220.86, 51.16, 532.82
-221.91, 51.80, 476.59
-222.08, 53.16, 472.53
-223.21, 53.78, 476.23
-223.00, 52.43, 553.35
-224.13, 53.04, 484.36
-222.49, 55.86, 477.02
-223.72, 56.47, 544.28
-223.45, 55.12, 451.58
-224.68, 55.72, 474.74
-225.01, 57.06, 480.51
-226.34, 57.63, 516.90
-225.95, 56.30, 506.79
-227.27, 56.86, 422.55
-224.39, 54.38, 509.07
-225.61, 54.97, 453.41
-225.30, 53.64, 510.04
-226.51, 54.22, 448.11
-226.87, 55.54, 448.01
-228.17, 56.09, 446.57
-227.76, 54.78, 448.30
-229.05, 55.32, 420.97
-213.41, 67.10, 534.74
-215.02, 67.78, 568.77
-214.93, 66.40, 511.77
-216.53, 67.07, 504.37
-216.73, 68.44, 535.95
-218.55, 69.08, 560.47
-218.23, 67.71, 517.83
-220.03, 68.34, 518.97
-216.37, 65.69, 586.12
-217.96, 66.34, 482.20
-217.74, 64.97, 517.68
-219.32, 65.61, 490.82
-219.65, 66.97, 712.25
-221.43, 67.58, 490.82
-220.99, 66.23, 505.02
-222.75, 66.82, 441.49
-220.49, 69.70, 621.77
-222.54, 70.29, 509.60
-221.94, 68.94, 514.48
-223.96, 69.51, 480.44
-224.73, 70.85, 507.80
-227.05, 71.38, 682.93
-226.11, 70.06, 480.81
-228.37, 70.57, 447.94
-223.31, 68.17, 579.28
-225.30, 68.73, 436.84
-224.60, 67.39, 480.21
-226.55, 67.93, 516.52
-227.39, 69.26, 468.40
-229.59, 69.75, 507.64
-228.60, 68.45, 469.09
-230.74, 68.93, 533.41
-219.05, 64.24, 484.43
-220.62, 64.87, 546.40
-220.29, 63.50, 476.27
-221.85, 64.12, 511.61
-222.27, 65.47, 500.46
-224.00, 66.05, 460.17
-223.48, 64.71, 460.03
-225.19, 65.27, 439.47
-221.49, 62.76, 561.18
-223.03, 63.36, 525.66
-222.63, 62.01, 491.25
-224.15, 62.60, 587.67
-224.63, 63.94, 525.13
-226.32, 64.49, 519.03
-225.74, 63.16, 529.81
-227.39, 63.70, 435.30
-225.82, 66.61, 451.86
-227.73, 67.13, 454.20
-226.98, 65.81, 426.97
-228.85, 66.33, 418.02
-229.73, 67.63, 430.52
-231.83, 68.10, 455.32
-230.81, 66.82, 426.46
-232.85, 67.27, 467.27
-228.08, 65.02, 468.96
-229.91, 65.52, 450.76
-229.12, 64.22, 692.74
-230.92, 64.71, 461.21
-231.82, 65.99, 444.58
-233.82, 66.44, 439.20
-232.79, 65.17, 428.80
-234.73, 65.60, 656.09
-229.50, 71.88, 477.37
-232.09, 72.34, 452.67
-230.75, 71.05, 621.74
-233.25, 71.49, 412.20
-234.82, 72.75, 469.97
-237.68, 73.13, 484.84
-235.88, 71.90, 444.60
-238.62, 72.25, 419.25
-231.91, 70.22, 524.22
-234.33, 70.65, 457.93
-232.99, 69.38, 522.16
-235.34, 69.79, 433.79
-236.87, 71.03, 570.50
-239.50, 71.38, 630.46
-237.79, 70.17, 456.18
-240.32, 70.50, 430.53
-240.66, 73.45, 411.01
-243.76, 73.73, 379.20
-241.47, 72.57, 403.89
-244.43, 72.83, 444.30
-246.95, 73.95, 443.60
-250.23, 74.12, 391.37
-247.47, 73.05, 420.70
-250.58, 73.21, 356.94
-242.23, 71.68, 382.06
-245.05, 71.94, 402.53
-242.95, 70.79, 369.92
-245.65, 71.04, 421.87
-247.96, 72.14, 386.07
-250.91, 72.30, 362.90
-248.42, 71.24, 398.89
-251.24, 71.38, 359.13
-234.01, 68.54, 562.63
-236.29, 68.94, 409.74
-234.97, 67.69, 505.62
-237.18, 68.08, 453.88
-238.65, 69.30, 405.75
-241.10, 69.63, 401.17
-239.47, 68.43, 427.98
-241.83, 68.75, 443.29
-235.88, 66.85, 432.01
-238.02, 67.22, 414.77
-236.75, 66.00, 608.03
-238.83, 66.36, 420.82
-240.24, 67.56, 389.31
