# az(deg), al(deg), L(cd) 
-187.89, 55.40, 530.25
-188.41, 56.28, 658.41
-189.31, 54.96, 472.16
-189.86, 55.83, 761.88
-188.96, 57.15, 652.53
-189.54, 58.02, 639.67
-190.43, 56.70, 606.52
-191.04, 57.56, 569.62
-190.70, 54.51, 534.34
-191.27, 55.37, 654.61
-192.06, 54.04, 553.96
-192.66, 54.90, 583.34
-191.87, 56.23, 589.22
-192.50, 57.08, 664.01
-193.28, 55.75, 621.84
-193.93, 56.59, 584.52
-190.15, 58.88, 705.87
-190.79, 59.74, 674.86
-191.68, 58.42, 1993.87
-192.35, 59.27, 725.56
-191.47, 60.60, 631.08
-192.18, 61.46, 677.76
-193.05, 60.12, 622.19
-193.80, 60.97, 601.75
-193.17, 57.93, 672.45
-193.86, 58.78, 1550.10
-194.62, 57.44, 901.98
-195.34, 58.27, 715.83
-194.60, 59.62, 560.31
-195.37, 60.46, 563.97
-196.10, 59.11, 574.71
-196.90, 59.94, 551.31
-193.39, 53.56, 562.82
-194.00, 54.41, 600.55
-194.69, 53.06, 675.29
-195.33, 53.90, 707.30
-194.65, 55.25, 723.39
-195.32, 56.09, 673.72
-195.99, 54.74, 826.18
-196.68, 55.57, 685.20
-195.96, 52.55, 542.08
-196.61, 53.39, 683.02
-197.20, 52.03, 559.76
-197.87, 52.86, 703.11
-197.29, 54.22, 774.00
-198.01, 55.04, 717.42
-198.57, 53.68, 665.95
-199.30, 54.50, 748.81
-196.03, 56.93, 727.09
-196.78, 57.75, 669.20
-197.41, 56.40, 658.47
-198.17, 57.22, 647.36
-197.56, 58.58, 703.78
-198.38, 59.40, 673.81
-198.98, 58.04, 656.66
-199.82, 58.84, 737.72
-198.75, 55.86, 634.23
-199.53, 56.67, 632.18
-200.06, 55.31, 651.77
-200.85, 56.11, 526.61
-200.35, 57.48, 543.42
-201.21, 58.28, 543.16
-201.69, 56.91, 467.78
-202.56, 57.70, 439.61
-192.94, 62.30, 663.06
-193.75, 63.15, 645.22
-194.59, 61.81, 542.89
-195.44, 62.64, 681.71
-194.61, 63.99, 677.22
-195.53, 64.82, 564.60
-196.33, 63.47, 656.00
-197.28, 64.29, 567.68
-196.20, 61.29, 713.18
-197.07, 62.11, 754.03
-197.75, 60.76, 627.77
-198.64, 61.57, 612.83
-197.99, 62.93, 566.11
-198.97, 63.74, 616.40
-199.59, 62.38, 538.03
-200.60, 63.17, 500.20
-196.52, 65.64, 615.22
-197.57, 66.46, 555.61
-198.30, 65.10, 559.39
-199.39, 65.90, 785.82
-198.70, 67.26, 559.14
-199.92, 68.06, 537.38
-200.55, 66.69, 548.37
-201.80, 67.48, 515.13
-200.02, 64.54, 547.99
-201.13, 65.33, 671.97
-201.67, 63.96, 554.83
-202.80, 64.74, 532.66
-202.32, 66.11, 524.05
-203.59, 66.88, 575.56
-204.02, 65.50, 473.24
-205.31, 66.26, 666.29
-199.25, 60.21, 618.87
-200.17, 61.01, 553.12
-200.71, 59.65, 615.93
-201.64, 60.44, 497.30
-201.14, 61.81, 1411.27
-202.16, 62.59, 634.74
-202.63, 61.22, 648.32
-203.68, 62.00, 558.32
-202.12, 59.07, 456.28
-203.07, 59.85, 517.37
-203.48, 58.48, 489.38
-204.45, 59.26, 521.35
-204.07, 60.63, 538.49
-205.13, 61.39, 493.05
-205.47, 60.02, 495.44
-206.54, 60.77, 754.01
-203.25, 63.37, 1003.86
-204.41, 64.13, 503.18
-204.78, 62.76, 535.38
-205.95, 63.51, 510.00
-205.64, 64.89, 611.36
-206.95, 65.62, 518.54
-207.19, 64.25, 488.37
-208.51, 64.98, 495.58
-206.25, 62.14, 524.29
-207.44, 62.88, 542.87
-207.67, 61.51, 528.85
-208.86, 62.24, 582.46
-208.69, 63.61, 528.59
-210.01, 64.32, 527.30
-210.12, 62.95, 487.51
-211.45, 63.65, 589.77
-198.42, 51.50, 609.12
-199.10, 52.32, 712.10
-199.61, 50.96, 726.77
-200.31, 51.77, 846.38
-199.81, 53.14, 711.69
-200.56, 53.94, 661.48
-201.03, 52.58, 720.54
-201.78, 53.38, 650.78
-200.77, 50.41, 680.06
-201.48, 51.21, 684.93
-201.91, 49.84, 662.15
-202.63, 50.64, 754.17
-202.22, 52.01, 802.21
-202.98, 52.80, 633.45
-203.37, 51.43, 661.02
-204.15, 52.22, 666.65
-201.33, 54.75, 715.39
-202.14, 55.54, 450.31
-202.57, 54.17, 791.44
-203.39, 54.96, 573.91
-202.99, 56.33, 423.23
-203.88, 57.11, 482.28
-204.25, 55.74, 498.74
-205.15, 56.51, 500.94
-203.78, 53.59, 630.90
-204.61, 54.37, 531.24
-204.96, 53.00, 642.03
-205.80, 53.77, 609.36
-205.48, 55.14, 535.84
-206.39, 55.90, 570.43
-206.68, 54.53, 520.99
-207.60, 55.29, 486.54
-203.03, 49.27, 706.07
-203.75, 50.06, 662.02
-204.12, 48.69, 916.19
-204.85, 49.48, 683.76
-204.51, 50.85, 656.97
-205.29, 51.63, 634.53
-205.61, 50.26, 702.49
-206.41, 51.03, 581.83
-205.18, 48.11, 596.96
-205.93, 48.88, 671.39
-206.23, 47.51, 662.72
-206.98, 48.28, 590.92
-206.70, 49.66, 562.17
-207.50, 50.42, 554.51
-207.76, 49.05, 634.12
-208.56, 49.80, 549.00
-206.11, 52.40, 601.96
-206.96, 53.16, 589.95
-207.23, 51.79, 552.14
-208.09, 52.54, 509.09
-207.85, 53.91, 616.92
-208.77, 54.66, 517.15
-208.98, 53.29, 555.64
-209.91, 54.02, 593.90
-208.33, 51.17, 522.28
-209.19, 51.92, 510.31
-209.40, 50.55, 517.24
-210.27, 51.29, 530.69
-210.09, 52.66, 581.48
-211.02, 53.38, 599.53
-211.17, 52.02, 540.23
-212.11, 52.74, 519.51
-204.81, 57.88, 571.74
-205.79, 58.65, 513.57
-206.10, 57.28, 495.16
-207.08, 58.03, 494.03
-206.82, 59.40, 651.83
-207.90, 60.14, 571.95
-208.12, 58.77, 583.21
-209.21, 59.50, 567.03
-207.34, 56.66, 500.21
-208.34, 57.40, 492.31
-208.56, 56.03, 517.45
-209.56, 56.76, 648.67
-209.38, 58.13, 490.69
-210.48, 58.85, 494.75
-210.61, 57.48, 585.14
-211.71, 58.19, 530.31
-209.04, 60.87, 528.00
-210.23, 61.59, 475.20
-210.35, 60.22, 505.93
-211.55, 60.92, 512.46
-211.49, 62.29, 556.41
-212.82, 62.97, 477.64
-212.82, 61.61, 528.22
-214.14, 62.28, 514.50
-211.63, 59.56, 482.65
-212.83, 60.25, 489.81
-212.86, 58.89, 624.80
-214.06, 59.57, 497.34
-214.09, 60.93, 487.94
-215.42, 61.59, 545.67
-215.32, 60.23, 474.49
-216.64, 60.88, 474.34
-209.74, 55.39, 523.32
-210.74, 56.12, 514.11
-210.88, 54.75, 691.35
-211.89, 55.46, 501.56
-211.80, 56.83, 525.81
-212.90, 57.53, 467.19
-212.95, 56.17, 476.01
-214.05, 56.85, 589.03
-212.00, 54.10, 492.38
-213.01, 54.80, 476.38
-213.09, 53.44, 534.07
-214.10, 54.14, 477.37
-214.07, 55.50, 472.91
-215.17, 56.18, 476.65
-215.16, 54.82, 554.75
-216.26, 55.49, 485.24
-214.05, 58.21, 476.82
-215.25, 58.88, 544.56
-215.20, 57.53, 451.52
-216.40, 58.19, 474.88
-216.51, 59.54, 480.44
-217.82, 60.17, 517.13
-217.65, 58.83, 507.21
-218.96, 59.46, 422.47
-216.32, 56.84, 509.76
-217.51, 57.49, 453.75
-217.40, 56.14, 511.14
-218.59, 56.78, 448.78
-218.76, 58.12, 448.36
-220.06, 58.74, 447.00
-219.84, 57.40, 449.03
-221.13, 58.01, 421.56
-201.23, 68.84, 533.80
-202.64, 69.61, 568.14
-203.14, 68.25, 510.83
-204.58, 69.00, 503.63
-204.17, 70.37, 535.46
-205.83, 71.11, 560.27
-206.13, 69.74, 517.36
-207.80, 70.46, 518.73
-204.95, 67.63, 585.53
-206.42, 68.37, 481.48
-206.69, 67.00, 516.97
-208.16, 67.72, 490.22
-207.98, 69.09, 712.53
-209.66, 69.79, 490.56
-209.73, 68.43, 504.68
-211.42, 69.11, 441.11
-207.62, 71.83, 621.97
-209.57, 72.53, 509.70
-209.61, 71.16, 514.45
-211.56, 71.84, 480.51
-211.68, 73.21, 508.11
-213.98, 73.86, 683.98
-213.66, 72.50, 481.11
-215.93, 73.13, 448.34
-211.47, 70.48, 579.54
-213.41, 71.14, 436.83
-213.22, 69.78, 480.18
-215.15, 70.42, 516.83
-215.50, 71.77, 468.71
-217.74, 72.38, 508.29
-217.21, 71.04, 469.41
-219.42, 71.62, 534.19
-208.34, 66.35, 483.69
-209.82, 67.06, 546.09
-209.91, 65.69, 475.57
-211.39, 66.38, 511.22
-211.39, 67.75, 500.16
-213.08, 68.42, 459.91
-212.97, 67.06, 459.59
-214.65, 67.71, 439.11
-211.41, 65.02, 560.90
-212.90, 65.70, 525.37
-212.85, 64.33, 490.68
-214.33, 65.00, 587.66
-214.47, 66.36, 524.98
-216.13, 66.99, 518.99
-215.89, 65.64, 529.67
-217.55, 66.27, 434.85
-214.87, 69.07, 451.74
-216.78, 69.69, 454.29
-216.43, 68.34, 426.74
-218.32, 68.95, 417.92
-218.82, 70.29, 430.70
-220.99, 70.86, 455.79
-220.32, 69.53, 426.58
-222.45, 70.08, 467.74
-217.90, 67.61, 468.86
-219.77, 68.20, 450.75
-219.29, 66.87, 693.70
-221.13, 67.44, 461.23
-221.74, 68.76, 444.72
-223.82, 69.30, 439.51
-223.07, 67.99, 428.85
-225.12, 68.51, 657.45
-216.47, 74.47, 478.03
-219.16, 75.06, 453.45
-218.38, 73.72, 622.92
-221.02, 74.28, 412.90
-222.08, 75.60, 471.02
-225.23, 76.10, 486.13
-223.85, 74.80, 445.61
-226.88, 75.28, 420.38
-220.14, 72.96, 525.13
-222.71, 73.49, 458.81
-221.77, 72.18, 523.09
-224.28, 72.70, 434.59
-225.46, 73.99, 571.99
-228.38, 74.45, 632.36
-226.94, 73.18, 457.26
-229.76, 73.62, 431.70
-228.61, 76.56, 412.26
-232.22, 76.95, 380.53
-230.12, 75.71, 405.16
-233.55, 76.09, 445.89
-236.04, 77.29, 444.37
-240.06, 77.56, 392.14
-237.16, 76.41, 421.42
-240.94, 76.67, 357.60
-231.48, 74.86, 383.25
-234.75, 75.22, 403.98
-232.73, 74.01, 371.03
-235.85, 74.35, 423.36
-238.18, 75.53, 387.62
-241.74, 75.77, 363.56
-239.10, 74.64, 400.46
-242.47, 74.88, 359.73
-223.29, 71.39, 563.72
-225.73, 71.89, 410.41
-224.70, 70.60, 506.45
-227.07, 71.08, 454.68
-228.30, 72.36, 406.59
-231.02, 72.78, 402.17
-229.57, 71.53, 428.86
-232.20, 71.93, 444.43
-226.02, 69.80, 432.48
-228.33, 70.27, 415.37
-227.26, 68.99, 609.37
-229.51, 69.44, 421.47
-230.76, 70.70, 390.00
-233.29, 71.08, 408.68
-231.86, 69.86, 414.84
-234.31, 70.23, 388.34
-233.88, 73.15, 400.91
-236.86, 73.48, 379.27
-234.94, 72.29, 406.85
-237.80, 72.61, 397.88
-239.96, 73.76, 681.16
-243.16, 73.98, 360.48
-240.75, 72.87, 348.95
-243.80, 73.08, 378.54
-235.93, 71.43, 397.17
-238.67, 71.73, 364.39
-236.86, 70.56, 396.56
-239.49, 70.85, 555.29
-241.50, 71.98, 463.44
-244.41, 72.18, 348.79
-242.20, 71.09, 395.61
-244.98, 71.28, 349.74
-214.22, 63.64, 497.57
-215.70, 64.29, 499.24
-215.54, 62.94, 918.78
-217.01, 63.58, 565.74
-217.25, 64.92, 454.94
-218.89, 65.53, 474.91
-218.55, 64.19, 461.72
-220.17, 64.79, 691.72
-216.81, 62.23, 659.51
-218.27, 62.86, 443.07
-218.02, 61.52, 468.57
-219.47, 62.13, 566.50
-219.80, 63.46, 503.15
-221.40, 64.04, 412.82
-220.99, 62.72, 474.60
-222.57, 63.29, 390.09
-220.62, 66.12, 415.32
-222.43, 66.68, 396.33
-221.88, 65.36, 395.39
-223.66, 65.91, 400.95
-224.34, 67.21, 428.56
-226.34, 67.71, 387.72
-225.54, 66.42, 414.56
-227.50, 66.91, 450.77
-223.08, 64.60, 404.73
-224.84, 65.13, 460.08
-224.23, 63.83, 472.63
-225.96, 64.35, 479.37
-226.68, 65.63, 414.81
-228.59, 66.11, 434.87
-227.76, 64.84, 812.09
-229.64, 65.30, 451.25
-219.19, 60.79, 458.22
-220.63, 61.39, 411.94
-220.32, 60.06, 1066.05
-221.75, 60.65, 505.87
-222.13, 61.97, 442.44
-223.70, 62.53, 420.76
-223.23, 61.22, 626.05
-224.78, 61.76, 457.50
-221.41, 59.33, 426.23
-222.82, 59.91, 840.32
-222.47, 58.59, 568.92
-223.87, 59.16, 468.56
-224.30, 60.46, 827.07
-225.82, 60.99, 509.45
-225.32, 59.70, 414.91
-226.83, 60.22, 502.24
-225.33, 63.06, 535.97
-227.03, 63.56, 415.48
-226.39, 62.28, 546.33
-228.06, 62.77, 450.89
-228.81, 64.04, 392.30
-230.64, 64.49, 487.22
-229.80, 63.24, 396.68
-231.61, 63.67, 377.13
-227.41, 61.50, 403.78
