# az(deg), al(deg), L(cd) 
-189.58, 55.30, 527.34
-190.13, 56.16, 655.51
-190.98, 54.84, 469.37
-191.56, 55.70, 759.03
-190.72, 57.03, 649.68
-191.33, 57.89, 636.87
-192.17, 56.56, 603.78
-192.80, 57.42, 566.94
-192.35, 54.37, 531.65
-192.95, 55.23, 651.90
-193.69, 53.89, 551.35
-194.31, 54.74, 580.74
-193.58, 56.08, 586.58
-194.24, 56.92, 661.38
-194.96, 55.58, 619.25
-195.65, 56.42, 581.97
-191.97, 58.75, 703.10
-192.65, 59.60, 672.15
-193.47, 58.27, 1990.66
-194.18, 59.11, 722.90
-193.36, 60.45, 628.43
-194.12, 61.30, 675.14
-194.92, 59.95, 619.62
-195.70, 60.79, 599.23
-194.94, 57.77, 669.87
-195.67, 58.60, 1547.15
-196.36, 57.25, 899.29
-197.11, 58.08, 713.27
-196.43, 59.44, 557.84
-197.24, 60.26, 561.54
-197.90, 58.91, 572.25
-198.74, 59.72, 548.89
-195.00, 53.39, 560.24
-195.64, 54.23, 597.96
-196.27, 52.88, 672.67
-196.94, 53.71, 704.68
-196.31, 55.07, 720.76
-197.01, 55.90, 671.15
-197.62, 54.54, 823.51
-198.34, 55.36, 682.63
-197.53, 52.35, 539.57
-198.20, 53.18, 680.43
-198.75, 51.82, 557.28
-199.44, 52.64, 700.55
-198.90, 54.00, 771.37
-199.64, 54.82, 714.86
-200.16, 53.45, 663.43
-200.91, 54.26, 746.24
-197.75, 56.72, 724.51
-198.52, 57.54, 666.67
-199.10, 56.18, 655.94
-199.89, 57.00, 644.86
-199.33, 58.36, 701.26
-200.18, 59.17, 671.33
-200.72, 57.80, 654.18
-201.59, 58.60, 735.21
-200.41, 55.63, 631.75
-201.22, 56.43, 629.72
-201.69, 55.06, 649.29
-202.51, 55.86, 524.25
-202.06, 57.23, 541.03
-202.95, 58.02, 540.78
-203.37, 56.65, 465.49
-204.26, 57.43, 437.35
-194.92, 62.14, 660.50
-195.77, 62.97, 642.70
-196.54, 61.62, 540.45
-197.42, 62.44, 679.25
-196.68, 63.80, 674.74
-197.64, 64.62, 562.21
-198.35, 63.26, 653.59
-199.34, 64.07, 565.34
-198.10, 61.08, 710.71
-199.01, 61.90, 751.56
-199.62, 60.53, 625.33
-200.54, 61.34, 610.43
-199.97, 62.70, 563.76
-200.99, 63.50, 614.05
-201.53, 62.13, 535.69
-202.56, 62.92, 497.90
-198.67, 65.43, 612.85
-199.77, 66.24, 553.30
-200.40, 64.87, 557.10
-201.53, 65.66, 783.46
-200.95, 67.03, 556.86
-202.21, 67.81, 535.16
-202.74, 66.44, 546.15
-204.03, 67.21, 512.94
-202.07, 64.29, 545.70
-203.22, 65.07, 669.64
-203.67, 63.69, 552.54
-204.84, 64.46, 530.39
-204.45, 65.83, 521.82
-205.76, 66.59, 573.33
-206.08, 65.21, 471.02
-207.41, 65.95, 664.00
-201.08, 59.97, 616.44
-202.03, 60.76, 550.76
-202.50, 59.39, 613.51
-203.46, 60.17, 494.97
-203.03, 61.55, 1408.43
-204.09, 62.32, 632.37
-204.48, 60.95, 645.92
-205.55, 61.71, 556.01
-203.88, 58.80, 453.99
-204.85, 59.57, 515.06
-205.21, 58.20, 487.09
-206.20, 58.96, 519.05
-205.88, 60.33, 536.18
-206.97, 61.09, 490.78
-207.24, 59.71, 493.19
-208.33, 60.45, 751.57
-205.21, 63.08, 1001.29
-206.39, 63.84, 500.92
-206.69, 62.46, 533.09
-207.88, 63.20, 507.75
-207.65, 64.57, 609.07
-208.99, 65.30, 516.33
-209.15, 63.93, 486.16
-210.49, 64.64, 493.39
-208.11, 61.83, 522.03
-209.32, 62.55, 540.62
-209.48, 61.18, 526.59
-210.70, 61.90, 580.19
-210.59, 63.27, 526.36
-211.94, 63.96, 525.09
-211.97, 62.60, 485.34
-213.32, 63.28, 587.53
-199.94, 51.27, 606.63
-200.64, 52.09, 709.54
-201.11, 50.72, 724.22
-201.82, 51.52, 843.74
-201.38, 52.89, 709.15
-202.14, 53.69, 659.02
-202.57, 52.32, 718.02
-203.34, 53.11, 648.34
-202.25, 50.15, 677.57
-202.98, 50.95, 682.45
-203.37, 49.58, 659.72
-204.10, 50.37, 751.65
-203.73, 51.74, 799.65
-204.51, 52.53, 631.07
-204.86, 51.15, 658.61
-205.66, 51.93, 664.26
-202.94, 54.49, 712.89
-203.77, 55.27, 448.04
-204.15, 53.90, 788.89
-204.99, 54.68, 571.58
-204.64, 56.05, 420.99
-205.55, 56.82, 480.02
-205.87, 55.45, 496.48
-206.79, 56.21, 498.69
-205.33, 53.30, 628.53
-206.18, 54.07, 528.97
-206.48, 52.70, 639.69
-207.34, 53.46, 607.06
-207.07, 54.84, 533.59
-208.00, 55.59, 568.17
-208.24, 54.21, 518.79
-209.17, 54.96, 484.39
-204.46, 48.99, 703.60
-205.20, 49.78, 659.63
-205.53, 48.40, 913.49
-206.28, 49.18, 681.36
-205.97, 50.55, 654.61
-206.77, 51.32, 632.20
-207.06, 49.95, 700.09
-207.87, 50.71, 579.62
-206.58, 47.80, 594.69
-207.33, 48.57, 669.05
-207.60, 47.20, 660.38
-208.37, 47.96, 588.70
-208.12, 49.34, 559.98
-208.93, 50.09, 552.34
-209.16, 48.72, 631.88
-209.98, 49.47, 546.89
-207.61, 52.09, 599.67
-208.47, 52.84, 587.70
-208.71, 51.46, 549.97
-209.58, 52.21, 506.98
-209.38, 53.58, 614.67
-210.32, 54.32, 515.02
-210.49, 52.95, 553.48
-211.43, 53.67, 591.73
-209.78, 50.84, 520.18
-210.65, 51.57, 508.25
-210.83, 50.20, 515.18
-211.71, 50.93, 528.63
-211.57, 52.30, 579.34
-212.51, 53.02, 597.37
-212.62, 51.65, 538.19
-213.57, 52.36, 517.51
-206.50, 57.58, 569.42
-207.50, 58.34, 511.31
-207.75, 56.96, 492.93
-208.76, 57.70, 491.83
-208.55, 59.08, 649.47
