# az(deg), al(deg), L(cd) 
-194.59, 54.86, 522.40
-195.24, 55.71, 650.49
-195.93, 54.36, 464.79
-196.59, 55.20, 754.07
-195.91, 56.55, 644.77
-196.61, 57.39, 632.07
-197.28, 56.03, 599.12
-198.01, 56.86, 562.42
-197.23, 53.84, 527.14
-197.91, 54.67, 647.25
-198.50, 53.31, 546.93
-199.20, 54.14, 576.30
-198.62, 55.50, 582.10
-199.37, 56.32, 656.82
-199.93, 54.96, 614.77
-200.69, 55.77, 577.62
-197.35, 58.22, 698.30
-198.13, 59.05, 667.48
-198.77, 57.69, 1984.03
-199.57, 58.51, 718.29
-198.95, 59.87, 623.91
-199.81, 60.69, 670.65
-200.40, 59.32, 615.24
-201.29, 60.13, 594.95
-200.15, 57.14, 665.33
-200.96, 57.95, 1541.15
-201.48, 56.58, 894.38
-202.31, 57.38, 708.76
-201.82, 58.76, 553.60
-202.72, 59.55, 557.35
-203.19, 58.18, 568.05
-204.11, 58.96, 544.77
-199.74, 52.77, 555.90
-200.45, 53.59, 593.59
-200.95, 52.21, 668.20
-201.68, 53.03, 700.16
-201.20, 54.40, 716.17
-201.97, 55.20, 666.70
-202.43, 53.83, 818.76
-203.22, 54.63, 678.24
-202.13, 51.65, 535.54
-202.87, 52.45, 676.08
-203.28, 51.07, 553.33
-204.03, 51.87, 696.23
-203.64, 53.25, 766.82
-204.44, 54.04, 710.47
-204.81, 52.66, 659.24
-205.62, 53.44, 741.86
-202.78, 56.00, 719.98
-203.63, 56.80, 662.30
-204.04, 55.42, 651.64
-204.91, 56.20, 640.62
-204.52, 57.58, 696.85
-205.45, 58.36, 667.02
-205.80, 56.98, 649.94
-206.74, 57.75, 730.82
-205.27, 54.82, 627.59
-206.14, 55.60, 625.59
-206.47, 54.22, 645.19
-207.35, 54.98, 520.50
-207.05, 56.37, 537.15
-208.00, 57.12, 536.93
-208.27, 55.74, 461.91
-209.22, 56.49, 433.87
-200.72, 61.50, 656.12
-201.68, 62.30, 638.44
-202.22, 60.93, 536.32
-203.20, 61.72, 674.96
-202.70, 63.10, 670.50
-203.77, 63.88, 558.21
-204.24, 62.51, 649.40
-205.33, 63.28, 561.36
-203.67, 60.34, 706.31
-204.67, 61.13, 747.15
-205.07, 59.74, 621.11
-206.08, 60.51, 606.28
-205.72, 61.90, 559.72
-206.83, 62.66, 609.97
-207.15, 61.28, 531.73
-208.27, 62.03, 494.05
-204.92, 64.66, 608.86
-206.14, 65.43, 549.46
-206.50, 64.04, 553.18
-207.73, 64.79, 779.24
-207.43, 66.18, 553.09
-208.81, 66.92, 531.48
-209.04, 65.53, 542.36
-210.43, 66.26, 509.28
-208.01, 63.41, 541.80
-209.25, 64.15, 665.58
-209.46, 62.76, 548.64
-210.71, 63.49, 526.58
-210.57, 64.87, 518.07
-211.96, 65.58, 569.55
-212.03, 64.20, 467.38
-213.43, 64.90, 660.04
-206.42, 59.13, 612.28
-207.45, 59.89, 546.78
-207.73, 58.51, 609.42
-208.76, 59.26, 491.19
-208.52, 60.64, 1402.71
-209.66, 61.38, 628.30
-209.85, 60.00, 641.83
-210.99, 60.73, 552.15
-209.00, 57.87, 450.37
-210.04, 58.61, 511.32
-210.22, 57.23, 483.51
-211.27, 57.96, 515.40
-211.13, 59.34, 532.42
-212.27, 60.06, 487.16
-212.37, 58.68, 489.64
-213.51, 59.38, 747.39
-210.85, 62.11, 996.50
-212.11, 62.82, 497.21
-212.19, 61.44, 529.33
-213.45, 62.14, 504.08
-213.43, 63.52, 605.19
-214.83, 64.20, 512.69
-214.77, 62.83, 482.59
-216.17, 63.50, 489.86
-213.47, 60.76, 518.37
-214.74, 61.45, 536.96
-214.72, 60.08, 523.02
-215.97, 60.75, 576.52
-216.06, 62.13, 522.78
-217.45, 62.78, 521.57
-217.29, 61.42, 481.97
-218.67, 62.06, 583.95
-204.41, 50.49, 602.67
-205.17, 51.28, 705.31
-205.51, 49.90, 720.00
-206.28, 50.68, 839.16
-205.96, 52.06, 704.94
-206.78, 52.83, 654.97
-207.07, 51.45, 713.88
-207.90, 52.22, 644.44
-206.59, 49.29, 673.60
-207.36, 50.07, 678.50
-207.64, 48.68, 655.91
-208.42, 49.45, 747.54
-208.16, 50.83, 795.32
-209.00, 51.59, 627.33
-209.23, 50.21, 654.87
-210.07, 50.96, 660.52
-207.63, 53.60, 708.71
-208.52, 54.36, 444.64
-208.76, 52.97, 784.57
-209.65, 53.72, 567.96
-209.44, 55.11, 417.69
-210.41, 55.85, 476.56
-210.58, 54.47, 493.10
-211.55, 55.20, 495.32
-209.86, 52.34, 624.83
-210.76, 53.08, 525.61
-210.94, 51.70, 636.06
-211.84, 52.43, 603.58
-211.70, 53.82, 530.23
-212.67, 54.54, 564.72
-212.78, 53.16, 515.63
-213.75, 53.87, 481.38
-208.67, 48.06, 699.72
-209.45, 48.82, 655.96
-209.67, 47.44, 908.81
-210.46, 48.19, 677.70
-210.27, 49.57, 650.99
-211.11, 50.32, 628.70
-211.28, 48.94, 696.39
-212.13, 49.67, 576.44
-210.66, 46.81, 591.46
-211.45, 47.55, 665.53
-211.62, 46.17, 656.95
-212.42, 46.91, 585.68
-212.28, 48.29, 556.99
-213.13, 49.02, 549.42
-213.25, 47.64, 628.71
-214.10, 48.36, 544.16
