# az(deg), al(deg), L(cd) 
-210.29, 52.21, 513.03
-211.14, 52.97, 640.04
-211.37, 51.57, 456.42
-212.23, 52.33, 743.00
-212.03, 53.73, 634.43
-212.95, 54.48, 621.89
-213.12, 53.07, 589.55
-214.05, 53.81, 553.22
-212.42, 50.93, 518.63
-213.29, 51.67, 637.54
-213.44, 50.27, 538.67
-214.31, 51.01, 567.74
-214.18, 52.41, 573.08
-215.11, 53.14, 647.08
-215.21, 51.74, 605.83
-216.14, 52.47, 569.09
-213.90, 55.22, 687.61
-214.89, 55.95, 657.11
-215.00, 54.55, 1961.81
-216.00, 55.27, 707.74
-215.93, 56.67, 613.98
-217.00, 57.38, 660.39
-217.03, 55.98, 605.66
-218.11, 56.69, 585.62
-216.07, 53.87, 655.54
-217.07, 54.58, 1522.85
-217.10, 53.18, 882.52
-218.10, 53.89, 698.88
-218.10, 55.29, 544.97
-219.18, 55.98, 548.71
-219.14, 54.58, 559.68
-220.21, 55.27, 536.67
-214.44, 49.61, 548.00
-215.31, 50.34, 585.27
-215.41, 48.94, 659.34
-216.28, 49.66, 690.96
-216.21, 51.06, 706.45
-217.14, 51.78, 657.59
-217.19, 50.38, 808.14
-218.12, 51.09, 669.37
-216.35, 48.26, 528.85
-217.23, 48.98, 667.55
-217.27, 47.58, 546.91
-218.15, 48.29, 687.83
-218.13, 49.69, 757.16
-219.07, 50.39, 701.60
-219.06, 48.99, 651.40
-219.99, 49.68, 732.94
-218.11, 52.49, 710.31
-219.11, 53.18, 653.30
-219.08, 51.78, 643.13
-220.08, 52.47, 632.28
-220.14, 53.87, 687.49
-221.21, 54.55, 658.04
-221.11, 53.15, 641.52
-222.18, 53.82, 721.49
-220.03, 51.08, 619.81
-221.02, 51.76, 617.88
-220.95, 50.36, 637.65
-221.94, 51.04, 514.66
-222.05, 52.43, 530.57
-223.11, 53.09, 530.38
-222.97, 51.70, 456.87
-224.02, 52.35, 429.21
-218.12, 58.09, 646.05
-219.29, 58.78, 628.61
-219.23, 57.38, 527.57
-220.39, 58.06, 665.04
-220.50, 59.45, 660.51
-221.77, 60.12, 549.24
-221.60, 58.73, 639.80
-222.86, 59.38, 552.62
-220.29, 56.66, 696.30
-221.45, 57.33, 736.82
-221.32, 55.94, 612.27
-222.48, 56.60, 597.65
-222.66, 57.99, 551.23
-223.91, 58.63, 601.11
-223.68, 57.25, 523.91
-224.92, 57.88, 486.70
-223.09, 60.77, 599.59
-224.48, 61.40, 540.82
-224.18, 60.02, 544.62
-225.54, 60.64, 768.85
-225.92, 62.02, 544.58
-227.42, 62.62, 523.34
-226.97, 61.25, 534.19
-228.46, 61.84, 501.56
-225.21, 59.26, 533.67
-226.57, 59.88, 656.42
-226.21, 58.50, 540.84
-227.56, 59.10, 519.11
-227.98, 60.47, 510.43
-229.45, 61.05, 561.61
-228.95, 59.69, 460.64
-230.40, 60.26, 651.58
-222.32, 55.21, 603.95
-223.47, 55.86, 539.20
-223.28, 54.48, 601.56
-224.42, 55.12, 484.72
-224.66, 56.50, 1386.03
-225.89, 57.13, 619.98
-225.61, 55.75, 633.71
-226.83, 56.36, 545.11
-224.21, 53.73, 444.91
-225.35, 54.37, 505.15
-225.12, 52.99, 478.20
-226.25, 53.62, 509.73
-226.52, 54.99, 526.03
-227.74, 55.60, 481.39
-227.41, 54.23, 484.33
-228.62, 54.82, 738.84
-227.18, 57.73, 984.39
-228.51, 58.33, 490.49
-228.10, 56.96, 522.62
-229.42, 57.54, 497.77
-229.88, 58.90, 597.46
-231.31, 59.46, 506.09
-230.78, 58.11, 476.62
-232.19, 58.66, 483.95
-229.00, 56.19, 512.28
-230.30, 56.76, 530.74
-229.87, 55.41, 517.39
-231.15, 55.97, 570.28
-231.65, 57.32, 516.83
-233.04, 57.85, 515.76
