# az(deg), al(deg), L(cd) 
-198.65, 54.37, 534.40
-199.36, 55.20, 661.95
-199.92, 53.83, 476.42
-200.65, 54.65, 764.89
-200.10, 56.02, 655.87
-200.87, 56.84, 642.82
-201.40, 55.46, 609.89
-202.19, 56.27, 572.88
-201.16, 53.28, 538.09
-201.90, 54.09, 657.68
-202.38, 52.71, 557.19
-203.13, 53.52, 586.26
-202.67, 54.90, 592.35
-203.48, 55.70, 666.63
-203.91, 54.31, 624.39
-204.73, 55.11, 587.02
-201.68, 57.65, 708.56
-202.52, 58.46, 677.39
-203.02, 57.08, 1991.73
-203.88, 57.87, 727.76
-203.41, 59.25, 633.48
-204.34, 60.05, 679.74
-204.78, 58.66, 624.51
-205.73, 59.44, 603.88
-204.32, 56.49, 674.80
-205.19, 57.28, 1548.69
-205.58, 55.89, 902.86
-206.47, 56.67, 717.31
-206.11, 58.06, 562.60
-207.07, 58.83, 566.00
-207.39, 57.44, 576.59
-208.37, 58.21, 553.06
-203.56, 52.14, 565.45
-204.32, 52.93, 602.83
-204.71, 51.55, 676.75
-205.48, 52.34, 708.46
-205.11, 53.72, 724.92
-205.94, 54.51, 675.32
-206.28, 53.12, 826.57
-207.12, 53.90, 686.18
-205.83, 50.95, 543.67
-206.61, 51.73, 683.70
-206.92, 50.35, 560.72
-207.71, 51.12, 703.09
-207.42, 52.51, 774.06
-208.27, 53.28, 717.70
-208.54, 51.89, 666.08
-209.39, 52.65, 748.36
-206.80, 55.28, 728.24
-207.70, 56.05, 670.42
-207.99, 54.67, 659.44
-208.90, 55.43, 648.24
-208.64, 56.82, 704.64
-209.62, 57.57, 674.63
-209.84, 56.18, 657.33
-210.83, 56.92, 737.82
-209.15, 54.04, 634.85
-210.06, 54.79, 632.70
-210.27, 53.40, 651.85
-211.19, 54.14, 527.36
-211.01, 55.53, 544.31
-212.01, 56.27, 543.93
-212.15, 54.88, 468.81
-213.14, 55.60, 440.72
-205.33, 60.83, 664.83
-206.36, 61.61, 646.79
