# az(deg), al(deg), L(cd) 
-214.61, 51.10, 511.83
-215.50, 51.83, 638.33
-215.61, 50.43, 455.63
-216.51, 51.15, 740.97
-216.43, 52.56, 632.73
-217.38, 53.28, 620.23
-217.43, 51.87, 588.17
-218.39, 52.59, 551.98
-216.59, 49.75, 517.73
-217.49, 50.47, 636.10
-217.54, 49.07, 537.83
-218.44, 49.78, 566.78
-218.41, 51.18, 571.91
-219.37, 51.89, 645.59
-219.36, 50.48, 604.68
-220.32, 51.18, 568.11
-218.37, 53.99, 685.68
-219.39, 54.69, 655.31
-219.38, 53.29, 1954.79
-220.40, 53.99, 705.85
-220.46, 55.39, 612.33
-221.56, 56.07, 658.56
-221.46, 54.67, 604.21
-222.56, 55.34, 584.23
-220.36, 52.58, 654.02
-221.38, 53.27, 1517.61
-221.31, 51.87, 880.11
-222.33, 52.54, 697.33
-222.44, 53.94, 543.92
-223.53, 54.61, 547.65
-223.38, 53.21, 558.74
-224.47, 53.87, 535.83
-218.46, 48.37, 547.31
-219.36, 49.08, 584.38
-219.36, 47.68, 658.24
-220.27, 48.38, 689.70
-220.29, 49.78, 704.99
-221.25, 50.47, 656.37
-221.19, 49.07, 806.26
-222.14, 49.75, 668.24
-220.24, 46.97, 528.62
-221.14, 47.66, 666.56
-221.10, 46.26, 546.74
-222.00, 46.95, 686.82
-222.07, 48.35, 755.67
-223.02, 49.02, 700.41
-222.92, 47.62, 650.63
-223.87, 48.29, 731.68
-222.23, 51.15, 708.82
-223.25, 51.82, 652.09
-223.13, 50.42, 642.13
-224.14, 51.08, 631.32
-224.30, 52.47, 686.13
-225.38, 53.12, 656.80
-225.19, 51.73, 640.51
-226.26, 52.37, 720.08
-224.00, 49.69, 619.08
-225.01, 50.34, 617.14
-224.85, 48.95, 636.92
-225.85, 49.60, 514.63
-226.05, 50.98, 530.27
-227.12, 51.62, 530.07
-226.89, 50.23, 457.13
-227.95, 50.86, 429.58
-222.70, 56.74, 644.29
-223.89, 57.40, 626.91
-223.70, 56.00, 526.41
-224.88, 56.65, 663.36
-225.12, 58.04, 658.70
-226.40, 58.67, 547.86
-226.10, 57.29, 638.23
-227.37, 57.91, 551.40
-224.67, 55.26, 694.63
-225.84, 55.90, 734.99
-225.60, 54.51, 611.10
-226.76, 55.14, 596.54
-227.05, 56.53, 550.18
-228.31, 57.14, 599.85
-227.97, 55.76, 523.13
-229.21, 56.36, 486.08
-227.73, 59.29, 598.06
-229.11, 59.89, 539.52
-228.69, 58.51, 543.46
-230.05, 59.10, 766.86
-230.54, 60.47, 543.31
-232.03, 61.03, 522.18
-231.47, 59.68, 533.11
